,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.222,0.188,0.222,0.148,0.103,0.148,0.222,0.125,0.222
1,3.0,0.174,0.195,0.174,0.174,0.19,0.174,0.217,0.196,0.217
2,4.0,0.182,0.286,0.182,0.182,0.267,0.182,0.197,0.448,0.197
3,5.0,0.344,0.355,0.344,0.281,0.29,0.281,0.344,0.324,0.344
4,6.0,0.214,0.188,0.214,0.179,0.125,0.179,0.25,0.156,0.25
5,7.0,0.214,0.188,0.214,0.179,0.125,0.179,0.25,0.156,0.25
6,8.0,0.2,0.257,0.2,0.178,0.242,0.178,0.244,0.224,0.244
7,9.0,0.258,0.444,0.258,0.226,0.424,0.226,0.254,0.302,0.254
8,10.0,0.205,0.257,0.205,0.182,0.242,0.182,0.25,0.224,0.25
9,11.0,0.206,0.342,0.206,0.175,0.306,0.175,0.238,0.283,0.238
10,12.0,0.219,0.233,0.219,0.219,0.233,0.219,0.25,0.174,0.25
11,13.0,0.286,0.452,0.286,0.224,0.367,0.224,0.26,0.26,0.26
12,14.0,0.229,0.297,0.229,0.208,0.286,0.208,0.229,0.216,0.229
13,15.0,0.265,0.321,0.265,0.265,0.321,0.265,0.278,0.217,0.278
14,16.0,0.259,0.537,0.259,0.212,0.514,0.212,0.233,0.317,0.233
15,17.0,0.263,0.571,0.263,0.211,0.485,0.211,0.221,0.304,0.221
16,18.0,0.232,0.514,0.232,0.195,0.41,0.195,0.22,0.474,0.22
17,19.0,0.264,0.4,0.264,0.226,0.343,0.226,0.214,0.19,0.214
18,20.0,0.209,0.45,0.209,0.186,0.421,0.186,0.241,0.362,0.241
