,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.286,0.267,0.286,0.214,0.188,0.214,0.214,0.231,0.214
1,3.0,0.308,0.258,0.308,0.269,0.194,0.269,0.269,0.2,0.269
2,4.0,0.333,0.276,0.333,0.292,0.233,0.292,0.28,0.184,0.28
3,5.0,0.318,0.25,0.318,0.318,0.226,0.318,0.348,0.211,0.348
4,6.0,0.333,0.206,0.333,0.318,0.189,0.318,0.381,0.205,0.381
5,7.0,0.4,0.235,0.4,0.364,0.186,0.364,0.5,0.263,0.5
6,8.0,0.45,0.257,0.45,0.429,0.22,0.429,0.526,0.256,0.526
7,9.0,0.526,0.286,0.526,0.5,0.25,0.5,0.611,0.275,0.611
8,10.0,0.611,0.314,0.611,0.611,0.314,0.611,0.647,0.268,0.647
9,11.0,0.667,0.333,0.667,0.667,0.364,0.667,0.706,0.286,0.706
10,12.0,0.765,0.351,0.765,0.765,0.361,0.765,0.812,0.31,0.812
11,13.0,0.765,0.351,0.765,0.765,0.361,0.765,0.765,0.31,0.765
12,14.0,0.882,0.395,0.882,0.882,0.429,0.882,0.882,0.333,0.882
13,15.0,0.889,0.41,0.889,0.889,0.457,0.889,0.889,0.348,0.889
14,16.0,0.944,0.425,0.944,0.944,0.486,0.944,0.895,0.288,0.895
15,17.0,0.947,0.439,0.947,0.947,0.474,0.947,0.947,0.3,0.947
16,18.0,0.95,0.463,0.95,0.95,0.5,0.95,0.95,0.317,0.95
17,19.0,0.952,0.455,0.952,0.952,0.5,0.952,0.952,0.345,0.952
18,20.0,0.955,0.467,0.955,0.955,0.512,0.955,0.955,0.344,0.955
