,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.175,0.128,0.175,0.137,0.081,0.137,0.018,0.004,0.018
1,3.0,0.19,0.136,0.19,0.135,0.078,0.135,0.023,0.006,0.023
2,4.0,0.221,0.161,0.221,0.166,0.099,0.166,0.03,0.007,0.03
3,5.0,0.238,0.171,0.238,0.176,0.105,0.176,0.039,0.01,0.039
4,6.0,0.244,0.175,0.244,0.181,0.108,0.181,0.039,0.01,0.039
5,7.0,0.242,0.173,0.242,0.179,0.105,0.179,0.042,0.011,0.042
6,8.0,0.241,0.168,0.241,0.178,0.102,0.178,0.044,0.011,0.044
7,9.0,0.24,0.165,0.24,0.181,0.102,0.181,0.045,0.011,0.045
8,10.0,0.239,0.164,0.239,0.18,0.101,0.18,0.045,0.011,0.045
9,11.0,0.252,0.165,0.252,0.192,0.112,0.192,0.05,0.013,0.05
10,12.0,0.267,0.174,0.267,0.198,0.115,0.198,0.055,0.014,0.055
11,13.0,0.278,0.181,0.278,0.197,0.112,0.197,0.057,0.015,0.057
12,14.0,0.277,0.179,0.277,0.195,0.11,0.195,0.062,0.016,0.062
13,15.0,0.278,0.179,0.278,0.194,0.108,0.194,0.068,0.018,0.068
14,16.0,0.297,0.196,0.297,0.195,0.108,0.195,0.07,0.018,0.07
15,17.0,0.296,0.191,0.296,0.193,0.106,0.193,0.068,0.017,0.068
16,18.0,0.295,0.19,0.295,0.197,0.108,0.197,0.071,0.018,0.071
17,19.0,0.301,0.193,0.301,0.2,0.109,0.2,0.074,0.019,0.074
18,20.0,0.3,0.191,0.3,0.199,0.108,0.199,0.077,0.02,0.077
