,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.178,0.13,0.178,0.139,0.082,0.139,0.018,0.004,0.018
1,3.0,0.195,0.14,0.195,0.137,0.079,0.137,0.023,0.006,0.023
2,4.0,0.225,0.164,0.225,0.166,0.099,0.166,0.03,0.007,0.03
3,5.0,0.226,0.164,0.226,0.169,0.1,0.169,0.032,0.008,0.032
4,6.0,0.246,0.164,0.246,0.167,0.097,0.167,0.039,0.01,0.039
5,7.0,0.254,0.181,0.254,0.179,0.105,0.179,0.042,0.011,0.042
6,8.0,0.276,0.188,0.276,0.199,0.122,0.199,0.047,0.012,0.047
7,9.0,0.275,0.184,0.275,0.195,0.118,0.195,0.049,0.013,0.049
8,10.0,0.253,0.177,0.253,0.184,0.106,0.184,0.047,0.012,0.047
9,11.0,0.273,0.179,0.273,0.197,0.116,0.197,0.055,0.014,0.055
10,12.0,0.284,0.187,0.284,0.196,0.112,0.196,0.053,0.013,0.053
11,13.0,0.261,0.176,0.261,0.187,0.104,0.187,0.058,0.015,0.058
12,14.0,0.301,0.201,0.301,0.195,0.109,0.195,0.058,0.015,0.058
13,15.0,0.305,0.202,0.305,0.196,0.11,0.196,0.061,0.016,0.061
14,16.0,0.292,0.186,0.292,0.204,0.115,0.204,0.068,0.018,0.068
15,17.0,0.306,0.193,0.306,0.203,0.113,0.203,0.068,0.018,0.068
16,18.0,0.317,0.206,0.317,0.221,0.123,0.221,0.071,0.019,0.071
17,19.0,0.291,0.18,0.291,0.202,0.11,0.202,0.071,0.019,0.071
18,20.0,0.312,0.199,0.312,0.215,0.119,0.215,0.079,0.021,0.079
