,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.23,0.162,0.23,0.156,0.094,0.156,0.018,0.005,0.018
1,3.0,0.232,0.162,0.232,0.157,0.094,0.157,0.018,0.005,0.018
2,4.0,0.311,0.283,0.311,0.167,0.143,0.167,0.024,0.009,0.024
3,5.0,0.236,0.279,0.236,0.159,0.172,0.159,0.018,0.009,0.018
4,6.0,0.26,0.329,0.26,0.162,0.193,0.162,0.02,0.011,0.02
5,7.0,0.244,0.377,0.244,0.159,0.27,0.159,0.019,0.014,0.019
6,8.0,0.184,0.279,0.184,0.149,0.199,0.149,0.014,0.009,0.014
7,9.0,0.234,0.162,0.234,0.159,0.094,0.159,0.018,0.005,0.018
8,10.0,0.221,0.402,0.221,0.158,0.276,0.158,0.017,0.016,0.017
9,11.0,0.177,0.425,0.177,0.155,0.35,0.155,0.015,0.016,0.015
10,12.0,0.238,0.367,0.238,0.161,0.237,0.161,0.019,0.014,0.019
11,13.0,0.342,0.401,0.342,0.19,0.228,0.19,0.027,0.016,0.027
12,14.0,0.341,0.279,0.341,0.185,0.143,0.185,0.028,0.01,0.028
13,15.0,0.201,0.447,0.201,0.146,0.355,0.146,0.016,0.018,0.016
14,16.0,0.268,0.541,0.268,0.17,0.372,0.17,0.022,0.029,0.022
15,17.0,0.21,0.444,0.21,0.157,0.333,0.157,0.018,0.02,0.018
16,18.0,0.195,0.516,0.195,0.146,0.387,0.146,0.015,0.024,0.015
17,19.0,0.234,0.404,0.234,0.166,0.277,0.166,0.02,0.017,0.02
18,20.0,0.196,0.537,0.196,0.158,0.426,0.158,0.016,0.028,0.016
