,clstr_num,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,2.0,0.178,0.129,0.178,0.139,0.082,0.139,0.018,0.004,0.018
1,3.0,0.181,0.121,0.181,0.142,0.083,0.142,0.021,0.005,0.021
2,4.0,0.186,0.124,0.186,0.147,0.087,0.147,0.023,0.006,0.023
3,5.0,0.226,0.154,0.226,0.176,0.107,0.176,0.03,0.007,0.03
4,6.0,0.227,0.154,0.227,0.186,0.113,0.186,0.032,0.008,0.032
5,7.0,0.226,0.151,0.226,0.184,0.109,0.184,0.04,0.01,0.04
6,8.0,0.225,0.15,0.225,0.183,0.109,0.183,0.04,0.01,0.04
7,9.0,0.224,0.148,0.224,0.181,0.107,0.181,0.042,0.011,0.042
8,10.0,0.248,0.173,0.248,0.18,0.104,0.18,0.047,0.012,0.047
9,11.0,0.249,0.172,0.249,0.183,0.105,0.183,0.05,0.013,0.05
10,12.0,0.258,0.177,0.258,0.191,0.111,0.191,0.053,0.014,0.053
11,13.0,0.264,0.178,0.264,0.192,0.11,0.192,0.06,0.016,0.06
12,14.0,0.275,0.184,0.275,0.193,0.11,0.193,0.065,0.017,0.065
13,15.0,0.291,0.2,0.291,0.203,0.117,0.203,0.07,0.018,0.07
14,16.0,0.294,0.202,0.294,0.207,0.119,0.207,0.073,0.019,0.073
15,17.0,0.293,0.197,0.293,0.205,0.116,0.205,0.073,0.019,0.073
16,18.0,0.29,0.192,0.29,0.201,0.112,0.201,0.076,0.02,0.076
17,19.0,0.289,0.189,0.289,0.2,0.11,0.2,0.076,0.02,0.076
18,20.0,0.29,0.187,0.29,0.199,0.108,0.199,0.079,0.02,0.079
