,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.352,0.514,0.352,0.278,0.395,0.278,0.148,0.186,0.148
1,0.2,0.4,0.579,0.4,0.327,0.439,0.327,0.164,0.209,0.164
2,0.30000000000000004,0.5,0.615,0.5,0.438,0.452,0.438,0.281,0.209,0.281
3,0.4,0.553,0.636,0.553,0.486,0.562,0.486,0.342,0.283,0.342
4,0.5,0.75,0.692,0.75,0.708,0.68,0.708,0.52,0.283,0.52
5,0.6000000000000001,0.955,0.618,0.955,0.955,0.656,0.955,0.826,0.388,0.826
6,0.7000000000000001,0.958,0.622,0.958,0.958,0.622,0.958,0.917,0.393,0.917
7,0.8,0.962,0.532,0.962,0.962,0.568,0.962,0.962,0.347,0.962
8,0.9,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
9,0.91,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
10,0.911,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
11,0.912,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
12,0.913,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
13,0.914,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
14,0.915,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
15,0.916,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
16,0.917,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
17,0.918,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
18,0.919,0.966,0.528,0.966,0.966,0.583,0.966,0.966,0.329,0.966
