,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.207,0.188,0.207,0.138,0.095,0.138,0.138,0.074,0.138
1,0.2,0.212,0.212,0.212,0.152,0.143,0.152,0.182,0.146,0.182
2,0.30000000000000004,0.233,0.219,0.233,0.167,0.147,0.167,0.172,0.116,0.172
3,0.4,0.286,0.25,0.286,0.214,0.176,0.214,0.214,0.136,0.214
4,0.5,0.284,0.477,0.284,0.203,0.357,0.203,0.203,0.273,0.203
5,0.6000000000000001,0.333,0.412,0.333,0.286,0.308,0.286,0.286,0.245,0.286
6,0.7000000000000001,0.448,0.382,0.448,0.379,0.324,0.379,0.379,0.234,0.379
7,0.8,0.676,0.581,0.676,0.676,0.61,0.676,0.632,0.353,0.632
8,0.9,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
9,0.91,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
10,0.911,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
11,0.912,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
12,0.913,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
13,0.914,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
14,0.915,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
15,0.916,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
16,0.917,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
17,0.918,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
18,0.919,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
