,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.351,0.526,0.351,0.298,0.436,0.298,0.193,0.244,0.193
1,0.2,0.345,0.679,0.345,0.309,0.486,0.309,0.236,0.245,0.236
2,0.30000000000000004,0.418,0.639,0.418,0.393,0.524,0.393,0.304,0.315,0.304
3,0.4,0.645,0.5,0.645,0.562,0.474,0.562,0.515,0.293,0.515
4,0.5,0.75,0.467,0.75,0.75,0.467,0.75,0.75,0.339,0.75
5,0.6000000000000001,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
6,0.7000000000000001,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
7,0.8,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
8,0.9,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
9,0.91,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
10,0.911,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
11,0.912,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
12,0.913,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
13,0.914,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
14,0.915,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
15,0.916,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
16,0.917,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
17,0.918,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
18,0.919,0.793,0.469,0.793,0.793,0.479,0.793,0.793,0.365,0.793
