,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.567,0.472,0.567,0.5,0.441,0.5,0.438,0.219,0.438
1,0.2,0.885,0.479,0.885,0.885,0.523,0.885,0.815,0.268,0.815
2,0.30000000000000004,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
3,0.4,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
4,0.5,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
5,0.6000000000000001,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
6,0.7000000000000001,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
7,0.8,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
8,0.9,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
9,0.91,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
10,0.911,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
11,0.912,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
12,0.913,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
13,0.914,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
14,0.915,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
15,0.916,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
16,0.917,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
17,0.918,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
18,0.919,1.0,0.544,1.0,1.0,0.585,1.0,1.0,0.356,1.0
