,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.379,0.579,0.379,0.31,0.439,0.31,0.138,0.182,0.138
1,0.2,0.415,0.579,0.415,0.34,0.439,0.34,0.151,0.186,0.151
2,0.30000000000000004,0.5,0.655,0.5,0.385,0.441,0.385,0.211,0.211,0.211
3,0.4,0.533,0.593,0.533,0.467,0.483,0.467,0.357,0.227,0.357
4,0.5,0.731,0.613,0.731,0.692,0.667,0.692,0.56,0.304,0.56
5,0.6000000000000001,0.917,0.667,0.917,0.913,0.724,0.913,0.826,0.396,0.826
6,0.7000000000000001,1.0,0.714,1.0,1.0,0.774,1.0,0.917,0.44,0.917
7,0.8,1.0,0.619,1.0,1.0,0.667,1.0,0.96,0.444,0.96
8,0.9,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
9,0.91,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
10,0.911,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
11,0.912,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
12,0.913,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
13,0.914,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
14,0.915,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
15,0.916,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
16,0.917,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
17,0.918,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
18,0.919,1.0,0.583,1.0,1.0,0.622,1.0,1.0,0.368,1.0
