,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.267,0.4,0.267,0.233,0.424,0.233,0.217,0.342,0.217
1,0.2,0.387,0.4,0.387,0.355,0.393,0.355,0.3,0.209,0.3
2,0.30000000000000004,0.457,0.5,0.457,0.4,0.4,0.4,0.314,0.256,0.314
3,0.4,0.516,0.485,0.516,0.452,0.412,0.452,0.387,0.235,0.387
4,0.5,0.607,0.531,0.607,0.536,0.517,0.536,0.517,0.263,0.517
5,0.6000000000000001,0.75,0.462,0.75,0.72,0.419,0.72,0.792,0.339,0.792
6,0.7000000000000001,0.955,0.525,0.955,0.913,0.538,0.913,0.913,0.35,0.913
7,0.8,0.962,0.556,0.962,0.962,0.641,0.962,0.962,0.391,0.962
8,0.9,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
9,0.91,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
10,0.911,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
11,0.912,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
12,0.913,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
13,0.914,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
14,0.915,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
15,0.916,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
16,0.917,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
17,0.918,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
18,0.919,1.0,0.556,1.0,1.0,0.6,1.0,1.0,0.395,1.0
