,threshold,Recall,Precision,F1_score,Recall_sub,Precision_sub,F1_score_sub,Recall_n,Precision_n,F1_score_n
0,0.1,0.25,0.375,0.25,0.229,0.314,0.229,0.208,0.385,0.208
1,0.2,0.302,0.394,0.302,0.256,0.355,0.256,0.233,0.294,0.233
2,0.30000000000000004,0.52,0.406,0.52,0.462,0.343,0.462,0.462,0.273,0.462
3,0.4,0.565,0.406,0.565,0.542,0.361,0.542,0.565,0.31,0.565
4,0.5,0.682,0.417,0.682,0.652,0.375,0.652,0.652,0.333,0.652
5,0.6000000000000001,0.682,0.375,0.682,0.682,0.385,0.682,0.727,0.364,0.727
6,0.7000000000000001,0.909,0.476,0.909,0.87,0.476,0.87,0.833,0.317,0.833
7,0.8,0.964,0.551,0.964,0.964,0.628,0.964,0.964,0.403,0.964
8,0.9,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
9,0.91,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
10,0.911,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
11,0.912,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
12,0.913,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
13,0.914,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
14,0.915,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
15,0.916,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
16,0.917,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
17,0.918,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
18,0.919,0.964,0.54,0.964,0.964,0.614,0.964,0.964,0.36,0.964
