,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.661,0.182,0.286,0.559,0.684,0.116,0.198,0.546,0.357,0.089,0.142,0.482
1,3.0,0.661,0.241,0.353,0.677,0.684,0.153,0.25,0.665,0.232,0.076,0.115,0.57
2,4.0,0.661,0.281,0.394,0.729,0.684,0.178,0.283,0.716,0.196,0.075,0.109,0.613
3,5.0,0.484,0.326,0.39,0.798,0.474,0.196,0.277,0.798,0.196,0.12,0.149,0.729
4,6.0,0.452,0.368,0.406,0.824,0.421,0.211,0.281,0.824,0.161,0.118,0.136,0.755
5,7.0,0.306,0.339,0.322,0.828,0.368,0.25,0.298,0.858,0.125,0.125,0.125,0.789
6,8.0,0.306,0.365,0.333,0.837,0.368,0.269,0.311,0.867,0.125,0.135,0.13,0.798
7,9.0,0.306,0.396,0.345,0.845,0.368,0.292,0.326,0.875,0.089,0.104,0.096,0.798
8,10.0,0.306,0.475,0.373,0.862,0.368,0.35,0.359,0.892,0.089,0.125,0.104,0.815
9,11.0,0.274,0.5,0.354,0.867,0.342,0.382,0.361,0.901,0.089,0.147,0.111,0.828
10,12.0,0.242,0.5,0.326,0.867,0.342,0.433,0.382,0.91,0.089,0.167,0.116,0.837
11,13.0,0.242,0.517,0.33,0.869,0.342,0.448,0.388,0.912,0.089,0.172,0.118,0.839
12,14.0,0.226,0.538,0.318,0.871,0.316,0.462,0.375,0.914,0.089,0.192,0.122,0.845
13,15.0,0.226,0.56,0.322,0.873,0.316,0.48,0.381,0.916,0.089,0.2,0.123,0.847
14,16.0,0.226,0.583,0.326,0.875,0.316,0.5,0.387,0.918,0.089,0.208,0.125,0.849
15,17.0,0.226,0.609,0.329,0.877,0.316,0.522,0.393,0.92,0.089,0.217,0.127,0.852
16,18.0,0.226,0.7,0.341,0.884,0.316,0.6,0.414,0.927,0.089,0.25,0.132,0.858
17,19.0,0.194,0.667,0.3,0.88,0.289,0.611,0.393,0.927,0.089,0.278,0.135,0.862
18,20.0,0.194,0.75,0.308,0.884,0.289,0.688,0.407,0.931,0.089,0.312,0.139,0.867
19,2.0,0.729,0.235,0.355,0.573,0.776,0.173,0.282,0.561,0.497,0.148,0.228,0.498
20,3.0,0.729,0.305,0.43,0.688,0.776,0.224,0.347,0.675,0.399,0.154,0.222,0.584
21,4.0,0.729,0.35,0.473,0.738,0.776,0.257,0.386,0.725,0.371,0.164,0.227,0.625
22,5.0,0.587,0.423,0.492,0.804,0.626,0.312,0.416,0.804,0.371,0.247,0.296,0.738
23,6.0,0.561,0.475,0.515,0.829,0.589,0.344,0.434,0.829,0.343,0.268,0.301,0.763
24,7.0,0.445,0.483,0.463,0.834,0.551,0.413,0.472,0.863,0.315,0.315,0.315,0.796
25,8.0,0.445,0.511,0.476,0.842,0.551,0.437,0.488,0.871,0.315,0.333,0.324,0.804
26,9.0,0.445,0.543,0.489,0.85,0.551,0.465,0.504,0.879,0.287,0.323,0.304,0.804
27,10.0,0.445,0.622,0.519,0.867,0.551,0.532,0.541,0.896,0.287,0.369,0.323,0.821
28,11.0,0.419,0.657,0.512,0.871,0.533,0.576,0.553,0.904,0.287,0.414,0.339,0.834
29,12.0,0.394,0.67,0.496,0.871,0.533,0.626,0.576,0.913,0.287,0.451,0.35,0.842
30,13.0,0.394,0.685,0.5,0.873,0.533,0.64,0.582,0.915,0.287,0.461,0.353,0.844
31,14.0,0.381,0.711,0.496,0.875,0.514,0.663,0.579,0.917,0.287,0.494,0.363,0.85
32,15.0,0.381,0.728,0.5,0.877,0.514,0.679,0.585,0.919,0.287,0.506,0.366,0.852
33,16.0,0.381,0.747,0.504,0.879,0.514,0.696,0.591,0.921,0.287,0.519,0.369,0.854
34,17.0,0.381,0.766,0.509,0.881,0.514,0.714,0.598,0.923,0.287,0.532,0.373,0.856
35,18.0,0.381,0.831,0.522,0.888,0.514,0.775,0.618,0.929,0.287,0.577,0.383,0.863
36,19.0,0.355,0.821,0.495,0.883,0.495,0.791,0.609,0.929,0.287,0.612,0.39,0.867
