,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.935,0.195,0.322,0.475,0.895,0.114,0.202,0.424,0.554,0.104,0.175,0.372
1,0.2,0.935,0.212,0.345,0.527,0.895,0.124,0.218,0.475,0.411,0.084,0.139,0.389
2,0.30000000000000004,0.79,0.262,0.394,0.675,0.711,0.144,0.24,0.632,0.268,0.08,0.123,0.542
3,0.4,0.694,0.293,0.411,0.735,0.684,0.177,0.281,0.714,0.25,0.095,0.138,0.624
4,0.5,0.403,0.455,0.427,0.856,0.395,0.273,0.323,0.865,0.089,0.091,0.09,0.783
5,0.6000000000000001,0.226,0.609,0.329,0.877,0.316,0.522,0.393,0.92,0.089,0.217,0.127,0.852
6,0.7000000000000001,0.226,0.824,0.354,0.89,0.316,0.706,0.436,0.933,0.089,0.294,0.137,0.865
7,0.8,0.161,0.833,0.27,0.884,0.237,0.75,0.36,0.931,0.071,0.333,0.118,0.871
8,0.9,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
9,0.91,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
10,0.911,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
11,0.912,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
12,0.913,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
13,0.914,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
14,0.915,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
15,0.916,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
16,0.917,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
17,0.918,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
18,0.919,0.048,1.0,0.092,0.873,0.053,0.667,0.098,0.92,0.018,0.333,0.034,0.877
