,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.79,0.212,0.334,0.581,0.737,0.121,0.208,0.542,0.375,0.091,0.146,0.473
1,3.0,0.79,0.189,0.305,0.52,0.895,0.131,0.229,0.508,0.411,0.089,0.146,0.422
2,4.0,0.855,0.225,0.356,0.587,0.816,0.131,0.226,0.544,0.339,0.081,0.13,0.454
3,5.0,0.742,0.228,0.348,0.63,0.816,0.153,0.258,0.617,0.339,0.094,0.147,0.527
4,6.0,0.565,0.229,0.326,0.688,0.579,0.144,0.23,0.684,0.321,0.118,0.172,0.628
5,7.0,0.532,0.236,0.327,0.708,0.579,0.157,0.247,0.712,0.286,0.114,0.163,0.647
6,8.0,0.548,0.281,0.372,0.753,0.579,0.182,0.277,0.753,0.196,0.091,0.124,0.667
7,9.0,0.548,0.227,0.321,0.69,0.553,0.14,0.223,0.686,0.286,0.107,0.155,0.626
8,10.0,0.5,0.295,0.371,0.774,0.579,0.21,0.308,0.787,0.143,0.076,0.099,0.688
9,11.0,0.532,0.314,0.395,0.783,0.605,0.219,0.322,0.791,0.179,0.095,0.124,0.697
10,12.0,0.5,0.298,0.373,0.776,0.553,0.202,0.296,0.785,0.143,0.077,0.1,0.69
11,13.0,0.435,0.329,0.375,0.806,0.474,0.22,0.3,0.819,0.143,0.098,0.116,0.738
12,14.0,0.516,0.323,0.398,0.791,0.526,0.202,0.292,0.791,0.107,0.061,0.077,0.692
13,15.0,0.419,0.394,0.406,0.837,0.474,0.273,0.346,0.854,0.143,0.121,0.131,0.772
14,16.0,0.371,0.397,0.383,0.841,0.421,0.276,0.333,0.862,0.143,0.138,0.14,0.789
15,17.0,0.387,0.471,0.425,0.86,0.474,0.353,0.404,0.886,0.125,0.137,0.131,0.8
16,18.0,0.355,0.415,0.383,0.847,0.395,0.283,0.33,0.869,0.071,0.075,0.073,0.783
17,19.0,0.435,0.329,0.375,0.806,0.447,0.207,0.283,0.815,0.089,0.061,0.072,0.725
18,20.0,0.258,0.5,0.34,0.867,0.395,0.469,0.429,0.914,0.107,0.188,0.136,0.837
19,2.0,0.832,0.262,0.398,0.594,0.813,0.176,0.29,0.557,0.51,0.148,0.23,0.49
20,3.0,0.832,0.235,0.366,0.536,0.925,0.18,0.302,0.523,0.538,0.14,0.223,0.44
21,4.0,0.884,0.272,0.416,0.6,0.869,0.185,0.305,0.559,0.483,0.137,0.214,0.471
22,5.0,0.806,0.285,0.421,0.642,0.869,0.212,0.341,0.625,0.483,0.157,0.237,0.538
23,6.0,0.652,0.3,0.411,0.698,0.701,0.223,0.338,0.694,0.469,0.199,0.279,0.64
24,7.0,0.613,0.311,0.413,0.719,0.72,0.252,0.374,0.732,0.413,0.193,0.263,0.657
25,8.0,0.639,0.363,0.463,0.761,0.701,0.275,0.395,0.761,0.371,0.194,0.255,0.677
26,9.0,0.626,0.284,0.391,0.686,0.664,0.208,0.317,0.682,0.469,0.196,0.277,0.636
27,10.0,0.626,0.383,0.475,0.777,0.738,0.312,0.439,0.79,0.357,0.202,0.258,0.694
28,11.0,0.626,0.402,0.49,0.79,0.72,0.32,0.443,0.798,0.357,0.212,0.266,0.707
29,12.0,0.561,0.412,0.475,0.8,0.645,0.327,0.434,0.813,0.329,0.223,0.266,0.729
30,13.0,0.548,0.436,0.486,0.813,0.626,0.344,0.444,0.825,0.329,0.241,0.278,0.746
31,14.0,0.51,0.457,0.482,0.823,0.589,0.364,0.45,0.84,0.315,0.26,0.285,0.765
32,15.0,0.535,0.509,0.522,0.842,0.607,0.399,0.481,0.854,0.287,0.252,0.268,0.767
33,16.0,0.535,0.58,0.557,0.863,0.607,0.455,0.52,0.875,0.287,0.287,0.287,0.788
34,17.0,0.523,0.638,0.574,0.875,0.607,0.512,0.556,0.892,0.287,0.323,0.304,0.804
35,18.0,0.523,0.609,0.562,0.869,0.626,0.504,0.558,0.89,0.343,0.368,0.355,0.815
36,19.0,0.458,0.617,0.526,0.867,0.551,0.513,0.532,0.892,0.287,0.357,0.318,0.817
