,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.903,0.199,0.327,0.503,0.842,0.114,0.201,0.452,0.429,0.085,0.142,0.378
1,3.0,0.903,0.211,0.341,0.535,0.842,0.12,0.211,0.484,0.411,0.086,0.143,0.406
2,4.0,0.677,0.256,0.372,0.695,0.684,0.159,0.257,0.677,0.268,0.091,0.136,0.591
3,5.0,0.468,0.29,0.358,0.776,0.421,0.16,0.232,0.772,0.214,0.12,0.154,0.716
4,6.0,0.339,0.296,0.316,0.804,0.421,0.225,0.294,0.834,0.161,0.127,0.142,0.766
5,7.0,0.306,0.339,0.322,0.828,0.368,0.25,0.298,0.858,0.125,0.125,0.125,0.789
6,8.0,0.306,0.365,0.333,0.837,0.368,0.269,0.311,0.867,0.089,0.096,0.093,0.789
7,9.0,0.274,0.37,0.315,0.841,0.342,0.283,0.31,0.875,0.089,0.109,0.098,0.802
8,10.0,0.274,0.405,0.327,0.849,0.342,0.31,0.325,0.884,0.089,0.119,0.102,0.811
9,11.0,0.274,0.515,0.358,0.869,0.342,0.394,0.366,0.903,0.089,0.152,0.112,0.83
10,12.0,0.242,0.517,0.33,0.869,0.342,0.448,0.388,0.912,0.089,0.172,0.118,0.839
11,13.0,0.242,0.556,0.337,0.873,0.342,0.481,0.4,0.916,0.089,0.185,0.12,0.843
12,14.0,0.226,0.583,0.326,0.875,0.316,0.5,0.387,0.918,0.089,0.208,0.125,0.849
13,15.0,0.226,0.609,0.329,0.877,0.316,0.522,0.393,0.92,0.089,0.217,0.127,0.852
14,16.0,0.21,0.565,0.306,0.873,0.316,0.522,0.393,0.92,0.089,0.217,0.127,0.852
15,17.0,0.194,0.6,0.293,0.875,0.289,0.55,0.379,0.923,0.089,0.25,0.132,0.858
16,18.0,0.194,0.632,0.296,0.877,0.289,0.579,0.386,0.925,0.089,0.263,0.133,0.86
17,19.0,0.194,0.706,0.304,0.882,0.289,0.647,0.4,0.929,0.089,0.294,0.137,0.865
18,20.0,0.194,0.75,0.308,0.884,0.289,0.688,0.407,0.931,0.071,0.25,0.111,0.862
19,2.0,0.923,0.241,0.382,0.519,0.888,0.16,0.271,0.469,0.552,0.133,0.215,0.399
20,3.0,0.923,0.254,0.398,0.55,0.888,0.169,0.284,0.501,0.538,0.137,0.218,0.426
21,4.0,0.742,0.32,0.447,0.704,0.776,0.231,0.356,0.688,0.427,0.17,0.243,0.605
22,5.0,0.574,0.385,0.461,0.784,0.589,0.273,0.373,0.779,0.385,0.238,0.294,0.725
23,6.0,0.471,0.422,0.445,0.811,0.589,0.364,0.45,0.84,0.343,0.283,0.31,0.773
24,7.0,0.445,0.483,0.463,0.834,0.551,0.413,0.472,0.863,0.315,0.315,0.315,0.796
25,8.0,0.445,0.511,0.476,0.842,0.551,0.437,0.488,0.871,0.287,0.304,0.295,0.796
26,9.0,0.419,0.528,0.468,0.846,0.533,0.463,0.496,0.879,0.287,0.333,0.308,0.809
27,10.0,0.419,0.565,0.481,0.854,0.533,0.496,0.514,0.888,0.287,0.357,0.318,0.817
28,11.0,0.419,0.67,0.516,0.873,0.533,0.588,0.559,0.906,0.287,0.423,0.342,0.836
29,12.0,0.394,0.685,0.5,0.873,0.533,0.64,0.582,0.915,0.287,0.461,0.353,0.844
30,13.0,0.394,0.718,0.508,0.877,0.533,0.671,0.594,0.919,0.287,0.482,0.36,0.848
31,14.0,0.381,0.747,0.504,0.879,0.514,0.696,0.591,0.921,0.287,0.519,0.369,0.854
32,15.0,0.381,0.766,0.509,0.881,0.514,0.714,0.598,0.923,0.287,0.532,0.373,0.856
33,16.0,0.368,0.74,0.491,0.877,0.514,0.714,0.598,0.923,0.287,0.532,0.373,0.856
34,17.0,0.355,0.775,0.487,0.879,0.495,0.746,0.596,0.925,0.287,0.577,0.383,0.863
35,18.0,0.355,0.797,0.491,0.881,0.495,0.768,0.602,0.927,0.287,0.594,0.387,0.865
36,19.0,0.355,0.846,0.5,0.886,0.495,0.815,0.616,0.931,0.287,0.631,0.394,0.869
