,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.741,0.092,0.164,0.318,0.754,0.041,0.078,0.295,0.741,0.015,0.029,0.282
1,3.0,0.573,0.092,0.158,0.448,0.595,0.042,0.078,0.443,0.598,0.015,0.03,0.438
2,4.0,0.45,0.091,0.152,0.546,0.444,0.04,0.073,0.551,0.483,0.016,0.031,0.554
3,5.0,0.325,0.101,0.154,0.677,0.334,0.046,0.08,0.695,0.346,0.017,0.033,0.704
4,6.0,0.309,0.101,0.152,0.688,0.319,0.046,0.08,0.708,0.338,0.018,0.034,0.717
5,7.0,0.24,0.117,0.157,0.767,0.256,0.055,0.09,0.795,0.272,0.021,0.04,0.807
6,8.0,0.216,0.126,0.159,0.794,0.22,0.057,0.09,0.824,0.25,0.024,0.043,0.839
7,9.0,0.196,0.144,0.166,0.822,0.202,0.065,0.099,0.853,0.221,0.026,0.047,0.869
8,10.0,0.187,0.152,0.168,0.832,0.193,0.069,0.101,0.864,0.208,0.027,0.048,0.88
9,11.0,0.175,0.155,0.165,0.839,0.179,0.07,0.1,0.872,0.198,0.028,0.049,0.889
10,12.0,0.172,0.166,0.169,0.847,0.173,0.074,0.103,0.881,0.193,0.03,0.052,0.898
11,13.0,0.168,0.168,0.168,0.85,0.17,0.075,0.104,0.884,0.19,0.031,0.053,0.901
12,14.0,0.166,0.172,0.169,0.853,0.168,0.077,0.105,0.887,0.186,0.031,0.053,0.904
13,15.0,0.16,0.172,0.166,0.854,0.163,0.077,0.105,0.889,0.177,0.031,0.052,0.907
14,16.0,0.159,0.178,0.168,0.858,0.162,0.08,0.107,0.892,0.177,0.032,0.054,0.91
15,17.0,0.142,0.172,0.156,0.861,0.152,0.081,0.106,0.898,0.16,0.031,0.052,0.916
16,18.0,0.139,0.177,0.156,0.864,0.146,0.082,0.105,0.901,0.159,0.033,0.054,0.919
17,19.0,0.132,0.184,0.154,0.869,0.138,0.084,0.105,0.906,0.147,0.033,0.054,0.925
18,20.0,0.132,0.185,0.154,0.869,0.137,0.084,0.104,0.907,0.145,0.033,0.053,0.925
19,2.0,0.748,0.095,0.169,0.32,0.767,0.044,0.084,0.296,0.777,0.018,0.035,0.283
20,3.0,0.584,0.095,0.164,0.449,0.617,0.046,0.085,0.444,0.653,0.019,0.038,0.439
21,4.0,0.463,0.096,0.159,0.547,0.474,0.045,0.081,0.552,0.553,0.021,0.04,0.555
22,5.0,0.341,0.108,0.164,0.678,0.37,0.053,0.093,0.696,0.435,0.025,0.047,0.705
23,6.0,0.326,0.108,0.162,0.688,0.356,0.053,0.093,0.708,0.428,0.026,0.048,0.718
24,7.0,0.258,0.127,0.171,0.768,0.297,0.066,0.108,0.795,0.371,0.033,0.061,0.808
25,8.0,0.235,0.139,0.175,0.795,0.262,0.07,0.111,0.824,0.352,0.038,0.068,0.839
26,9.0,0.216,0.16,0.184,0.822,0.245,0.082,0.123,0.854,0.326,0.044,0.077,0.869
27,10.0,0.207,0.169,0.186,0.832,0.236,0.087,0.127,0.864,0.315,0.047,0.081,0.88
28,11.0,0.196,0.174,0.184,0.839,0.224,0.09,0.128,0.873,0.306,0.049,0.085,0.889
29,12.0,0.192,0.186,0.189,0.848,0.218,0.096,0.133,0.881,0.302,0.053,0.09,0.898
30,13.0,0.188,0.189,0.188,0.85,0.215,0.098,0.134,0.884,0.3,0.055,0.092,0.901
31,14.0,0.186,0.193,0.19,0.853,0.213,0.1,0.136,0.887,0.296,0.056,0.094,0.904
32,15.0,0.18,0.194,0.187,0.855,0.208,0.101,0.136,0.889,0.289,0.056,0.094,0.907
33,16.0,0.18,0.2,0.189,0.858,0.207,0.105,0.139,0.893,0.289,0.058,0.097,0.91
34,17.0,0.163,0.197,0.178,0.861,0.198,0.108,0.14,0.898,0.274,0.06,0.098,0.916
35,18.0,0.16,0.203,0.179,0.864,0.193,0.111,0.141,0.901,0.272,0.063,0.102,0.919
36,19.0,0.154,0.212,0.178,0.869,0.184,0.115,0.142,0.907,0.262,0.066,0.105,0.925
