,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.732,0.092,0.164,0.323,0.752,0.042,0.079,0.301,0.73,0.015,0.029,0.287
1,3.0,0.563,0.093,0.16,0.465,0.589,0.043,0.08,0.461,0.577,0.015,0.03,0.456
2,4.0,0.441,0.094,0.156,0.567,0.433,0.041,0.075,0.573,0.465,0.016,0.031,0.577
3,5.0,0.358,0.106,0.163,0.668,0.355,0.046,0.082,0.682,0.376,0.018,0.034,0.69
4,6.0,0.296,0.112,0.162,0.724,0.291,0.048,0.083,0.744,0.319,0.019,0.037,0.755
5,7.0,0.257,0.125,0.168,0.771,0.243,0.052,0.086,0.794,0.277,0.022,0.04,0.808
6,8.0,0.217,0.134,0.166,0.802,0.213,0.058,0.091,0.831,0.237,0.024,0.043,0.846
7,9.0,0.201,0.154,0.174,0.828,0.196,0.066,0.098,0.857,0.21,0.026,0.046,0.873
8,10.0,0.189,0.159,0.173,0.836,0.181,0.067,0.098,0.867,0.2,0.027,0.048,0.884
9,11.0,0.187,0.168,0.177,0.843,0.181,0.071,0.103,0.874,0.198,0.029,0.05,0.89
10,12.0,0.173,0.158,0.165,0.842,0.166,0.067,0.095,0.875,0.184,0.027,0.047,0.892
11,13.0,0.175,0.167,0.171,0.846,0.171,0.072,0.101,0.879,0.189,0.029,0.05,0.896
12,14.0,0.16,0.165,0.162,0.851,0.168,0.076,0.105,0.886,0.17,0.028,0.048,0.903
13,15.0,0.156,0.173,0.164,0.856,0.153,0.074,0.1,0.891,0.163,0.029,0.049,0.909
14,16.0,0.14,0.169,0.153,0.86,0.151,0.08,0.105,0.898,0.159,0.031,0.052,0.915
15,17.0,0.134,0.164,0.147,0.86,0.149,0.08,0.104,0.898,0.147,0.029,0.048,0.916
16,18.0,0.135,0.18,0.154,0.866,0.134,0.078,0.099,0.903,0.141,0.03,0.05,0.922
17,19.0,0.113,0.169,0.135,0.87,0.124,0.081,0.098,0.91,0.12,0.029,0.047,0.929
18,20.0,0.109,0.168,0.132,0.871,0.119,0.081,0.096,0.911,0.119,0.029,0.047,0.93
19,2.0,0.739,0.095,0.168,0.324,0.766,0.045,0.084,0.302,0.767,0.018,0.035,0.289
20,3.0,0.574,0.097,0.166,0.466,0.611,0.047,0.087,0.462,0.635,0.019,0.038,0.457
21,4.0,0.455,0.099,0.163,0.568,0.464,0.046,0.084,0.574,0.538,0.021,0.041,0.578
22,5.0,0.374,0.112,0.173,0.669,0.39,0.053,0.094,0.683,0.461,0.025,0.048,0.691
23,6.0,0.314,0.12,0.174,0.724,0.329,0.057,0.097,0.745,0.411,0.029,0.054,0.756
24,7.0,0.275,0.136,0.182,0.771,0.284,0.064,0.104,0.795,0.375,0.034,0.062,0.809
25,8.0,0.236,0.147,0.181,0.803,0.256,0.072,0.112,0.831,0.341,0.038,0.069,0.846
26,9.0,0.221,0.17,0.192,0.828,0.239,0.083,0.123,0.858,0.317,0.044,0.078,0.873
27,10.0,0.209,0.176,0.191,0.836,0.226,0.086,0.125,0.867,0.308,0.047,0.082,0.884
28,11.0,0.207,0.187,0.196,0.843,0.226,0.092,0.131,0.874,0.306,0.05,0.086,0.891
29,12.0,0.193,0.177,0.185,0.842,0.211,0.088,0.124,0.875,0.295,0.049,0.084,0.892
30,13.0,0.195,0.186,0.191,0.847,0.216,0.093,0.13,0.879,0.299,0.052,0.088,0.896
31,14.0,0.18,0.186,0.183,0.851,0.213,0.1,0.136,0.886,0.282,0.053,0.089,0.903
32,15.0,0.177,0.196,0.186,0.857,0.199,0.099,0.132,0.891,0.277,0.055,0.092,0.909
33,16.0,0.161,0.193,0.176,0.86,0.197,0.108,0.139,0.898,0.273,0.06,0.098,0.916
34,17.0,0.155,0.188,0.17,0.86,0.195,0.107,0.138,0.898,0.262,0.058,0.095,0.916
35,18.0,0.156,0.206,0.178,0.866,0.181,0.108,0.135,0.903,0.257,0.062,0.099,0.922
36,19.0,0.134,0.199,0.161,0.87,0.171,0.115,0.137,0.91,0.239,0.064,0.101,0.929
