,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.514,0.18,0.267,0.744,0.601,0.092,0.16,0.75,0.412,0.023,0.044,0.739
1,3.0,0.823,0.128,0.221,0.475,0.753,0.051,0.096,0.437,0.777,0.019,0.038,0.425
2,4.0,0.828,0.144,0.246,0.54,0.729,0.056,0.104,0.499,0.714,0.02,0.039,0.487
3,5.0,0.501,0.167,0.25,0.729,0.325,0.048,0.083,0.715,0.389,0.021,0.04,0.725
4,6.0,0.979,0.095,0.173,0.155,0.973,0.041,0.08,0.106,0.972,0.015,0.03,0.082
5,7.0,0.914,0.118,0.209,0.373,0.854,0.048,0.091,0.326,0.873,0.018,0.035,0.309
6,8.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
7,9.0,0.861,0.149,0.254,0.543,0.794,0.06,0.112,0.501,0.802,0.022,0.043,0.486
8,10.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
9,11.0,0.624,0.172,0.269,0.694,0.615,0.074,0.133,0.68,0.514,0.023,0.044,0.672
10,12.0,0.93,0.112,0.201,0.329,0.891,0.047,0.09,0.283,0.879,0.017,0.034,0.263
11,13.0,0.898,0.148,0.253,0.522,0.861,0.062,0.116,0.479,0.806,0.021,0.042,0.459
12,14.0,0.916,0.122,0.216,0.398,0.845,0.05,0.094,0.35,0.866,0.019,0.036,0.334
13,15.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
14,16.0,0.627,0.203,0.306,0.743,0.597,0.085,0.148,0.728,0.484,0.025,0.048,0.72
15,17.0,0.873,0.142,0.244,0.512,0.795,0.057,0.106,0.468,0.79,0.021,0.04,0.453
16,18.0,1.0,0.091,0.167,0.097,0.999,0.04,0.077,0.047,0.998,0.015,0.029,0.022
17,19.0,0.867,0.144,0.247,0.523,0.842,0.062,0.115,0.484,0.776,0.021,0.04,0.465
18,20.0,0.422,0.388,0.405,0.888,0.339,0.137,0.195,0.889,0.172,0.025,0.044,0.892
19,2.0,0.918,0.128,0.224,0.413,0.859,0.054,0.102,0.366,0.886,0.022,0.044,0.348
20,3.0,0.756,0.137,0.231,0.536,0.682,0.056,0.103,0.503,0.751,0.025,0.048,0.497
21,4.0,0.965,0.099,0.18,0.185,0.946,0.044,0.084,0.136,0.974,0.018,0.036,0.115
22,5.0,0.997,0.094,0.171,0.108,0.992,0.042,0.081,0.057,0.998,0.017,0.033,0.033
23,6.0,0.945,0.109,0.195,0.28,0.889,0.046,0.088,0.231,0.931,0.019,0.038,0.213
24,7.0,0.934,0.108,0.193,0.278,0.88,0.046,0.087,0.229,0.925,0.019,0.038,0.212
25,8.0,0.599,0.184,0.281,0.717,0.454,0.063,0.111,0.695,0.558,0.031,0.059,0.701
26,9.0,0.776,0.181,0.294,0.655,0.759,0.08,0.145,0.626,0.68,0.029,0.055,0.61
27,10.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
28,11.0,0.715,0.196,0.308,0.703,0.688,0.086,0.152,0.679,0.642,0.032,0.061,0.668
29,12.0,0.928,0.116,0.206,0.34,0.887,0.05,0.095,0.294,0.904,0.021,0.04,0.275
30,13.0,0.896,0.136,0.236,0.464,0.829,0.057,0.107,0.419,0.877,0.024,0.047,0.404
31,14.0,0.812,0.157,0.263,0.578,0.758,0.066,0.122,0.542,0.76,0.027,0.051,0.529
32,15.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
33,16.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
34,17.0,0.895,0.147,0.253,0.511,0.847,0.063,0.117,0.467,0.832,0.025,0.048,0.449
35,18.0,0.997,0.094,0.171,0.108,0.993,0.042,0.081,0.058,0.995,0.017,0.033,0.033
36,19.0,0.917,0.125,0.221,0.401,0.872,0.054,0.102,0.355,0.869,0.022,0.042,0.337
