,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.781,0.092,0.165,0.283,0.794,0.041,0.078,0.256,0.784,0.015,0.029,0.24
1,3.0,0.647,0.094,0.164,0.402,0.667,0.042,0.08,0.388,0.659,0.015,0.03,0.38
2,4.0,0.436,0.106,0.171,0.618,0.452,0.048,0.088,0.626,0.46,0.018,0.035,0.629
3,5.0,0.333,0.112,0.168,0.701,0.322,0.048,0.083,0.717,0.368,0.02,0.038,0.727
4,6.0,0.329,0.113,0.168,0.706,0.321,0.049,0.084,0.723,0.367,0.02,0.039,0.733
5,7.0,0.277,0.13,0.177,0.767,0.26,0.054,0.089,0.788,0.297,0.023,0.042,0.802
6,8.0,0.252,0.151,0.189,0.804,0.241,0.063,0.1,0.828,0.276,0.026,0.048,0.842
7,9.0,0.237,0.166,0.195,0.823,0.228,0.07,0.108,0.849,0.257,0.029,0.052,0.864
8,10.0,0.225,0.166,0.191,0.828,0.219,0.071,0.107,0.855,0.251,0.03,0.053,0.87
9,11.0,0.205,0.174,0.188,0.84,0.206,0.077,0.112,0.87,0.225,0.031,0.054,0.886
10,12.0,0.201,0.174,0.187,0.842,0.2,0.076,0.111,0.872,0.223,0.031,0.055,0.888
11,13.0,0.194,0.174,0.184,0.844,0.195,0.077,0.111,0.875,0.214,0.031,0.054,0.891
12,14.0,0.191,0.179,0.185,0.848,0.192,0.079,0.112,0.879,0.207,0.031,0.054,0.895
13,15.0,0.186,0.178,0.182,0.849,0.188,0.079,0.111,0.881,0.199,0.031,0.053,0.897
14,16.0,0.184,0.177,0.18,0.849,0.183,0.077,0.109,0.881,0.194,0.03,0.052,0.897
15,17.0,0.175,0.178,0.177,0.853,0.174,0.078,0.108,0.885,0.187,0.031,0.053,0.902
16,18.0,0.17,0.176,0.173,0.853,0.171,0.078,0.107,0.886,0.182,0.03,0.052,0.903
17,19.0,0.164,0.183,0.173,0.858,0.161,0.079,0.106,0.892,0.173,0.031,0.053,0.91
18,20.0,0.16,0.185,0.172,0.86,0.157,0.08,0.106,0.894,0.169,0.031,0.053,0.912
19,2.0,0.786,0.095,0.169,0.285,0.806,0.044,0.083,0.257,0.814,0.018,0.035,0.242
20,3.0,0.656,0.097,0.169,0.403,0.685,0.046,0.086,0.39,0.705,0.019,0.037,0.381
21,4.0,0.45,0.112,0.179,0.619,0.482,0.054,0.098,0.627,0.534,0.024,0.046,0.629
22,5.0,0.349,0.119,0.178,0.701,0.359,0.056,0.096,0.717,0.454,0.028,0.053,0.728
23,6.0,0.345,0.121,0.179,0.707,0.358,0.057,0.098,0.723,0.453,0.029,0.054,0.734
24,7.0,0.294,0.14,0.19,0.768,0.3,0.065,0.106,0.789,0.393,0.034,0.062,0.802
25,8.0,0.271,0.163,0.204,0.804,0.282,0.077,0.121,0.828,0.374,0.041,0.074,0.842
26,9.0,0.256,0.181,0.212,0.824,0.27,0.086,0.131,0.85,0.358,0.046,0.081,0.864
27,10.0,0.244,0.181,0.208,0.828,0.261,0.088,0.131,0.855,0.353,0.047,0.084,0.87
28,11.0,0.224,0.191,0.206,0.841,0.249,0.096,0.139,0.871,0.33,0.051,0.088,0.886
29,12.0,0.22,0.192,0.205,0.842,0.244,0.096,0.138,0.872,0.328,0.052,0.089,0.888
30,13.0,0.213,0.193,0.203,0.845,0.239,0.098,0.139,0.876,0.321,0.053,0.09,0.892
31,14.0,0.211,0.198,0.204,0.848,0.236,0.1,0.141,0.879,0.315,0.054,0.092,0.895
32,15.0,0.206,0.197,0.202,0.849,0.232,0.1,0.14,0.881,0.307,0.053,0.091,0.897
33,16.0,0.204,0.197,0.2,0.849,0.227,0.099,0.138,0.881,0.303,0.053,0.09,0.898
34,17.0,0.195,0.199,0.197,0.853,0.219,0.101,0.138,0.886,0.297,0.055,0.093,0.902
35,18.0,0.191,0.197,0.194,0.853,0.216,0.101,0.138,0.887,0.292,0.055,0.092,0.903
36,19.0,0.184,0.205,0.194,0.859,0.206,0.104,0.138,0.892,0.285,0.058,0.096,0.91
