,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.806,0.131,0.226,0.262,0.763,0.076,0.138,0.224,0.714,0.105,0.183,0.232
1,3.0,0.435,0.139,0.211,0.566,0.368,0.072,0.121,0.561,0.339,0.098,0.152,0.544
2,4.0,0.258,0.131,0.174,0.673,0.289,0.09,0.138,0.703,0.25,0.115,0.157,0.677
3,5.0,0.21,0.138,0.167,0.72,0.237,0.096,0.136,0.755,0.161,0.096,0.12,0.716
4,6.0,0.21,0.159,0.181,0.746,0.237,0.11,0.15,0.781,0.161,0.11,0.13,0.742
5,7.0,0.145,0.145,0.145,0.772,0.184,0.113,0.14,0.815,0.107,0.097,0.102,0.772
6,8.0,0.145,0.155,0.15,0.781,0.184,0.121,0.146,0.824,0.089,0.086,0.088,0.776
7,9.0,0.145,0.196,0.167,0.806,0.158,0.13,0.143,0.845,0.089,0.109,0.098,0.802
8,10.0,0.129,0.211,0.16,0.819,0.158,0.158,0.158,0.862,0.089,0.132,0.106,0.819
9,11.0,0.129,0.235,0.167,0.828,0.158,0.176,0.167,0.871,0.089,0.147,0.111,0.828
10,12.0,0.129,0.258,0.172,0.834,0.158,0.194,0.174,0.877,0.089,0.161,0.115,0.834
11,13.0,0.129,0.32,0.184,0.847,0.158,0.24,0.19,0.89,0.054,0.12,0.074,0.839
12,14.0,0.129,0.333,0.186,0.849,0.158,0.25,0.194,0.892,0.054,0.125,0.075,0.841
13,15.0,0.129,0.4,0.195,0.858,0.158,0.3,0.207,0.901,0.054,0.15,0.079,0.849
14,16.0,0.129,0.444,0.2,0.862,0.158,0.333,0.214,0.905,0.054,0.167,0.081,0.854
15,17.0,0.113,0.412,0.177,0.86,0.132,0.294,0.182,0.903,0.054,0.176,0.082,0.856
16,18.0,0.081,0.333,0.13,0.856,0.105,0.267,0.151,0.903,0.054,0.2,0.085,0.86
17,19.0,0.081,0.385,0.133,0.86,0.105,0.308,0.157,0.908,0.054,0.231,0.087,0.865
18,20.0,0.081,0.417,0.135,0.862,0.105,0.333,0.16,0.91,0.054,0.25,0.088,0.867
19,2.0,0.845,0.165,0.276,0.286,0.832,0.112,0.198,0.249,0.776,0.14,0.237,0.257
20,3.0,0.548,0.203,0.296,0.58,0.551,0.141,0.224,0.575,0.483,0.165,0.246,0.559
21,4.0,0.406,0.229,0.293,0.684,0.495,0.193,0.277,0.713,0.413,0.215,0.282,0.688
22,5.0,0.368,0.26,0.305,0.729,0.458,0.224,0.301,0.763,0.343,0.224,0.271,0.725
23,6.0,0.368,0.292,0.326,0.754,0.458,0.251,0.325,0.788,0.343,0.251,0.29,0.75
24,7.0,0.316,0.316,0.316,0.779,0.421,0.29,0.344,0.821,0.301,0.277,0.289,0.779
25,8.0,0.316,0.333,0.325,0.788,0.421,0.306,0.354,0.829,0.287,0.279,0.283,0.784
26,9.0,0.316,0.398,0.353,0.813,0.402,0.35,0.374,0.85,0.287,0.333,0.308,0.809
27,10.0,0.303,0.439,0.359,0.825,0.402,0.402,0.402,0.867,0.287,0.383,0.328,0.825
28,11.0,0.303,0.475,0.37,0.834,0.402,0.434,0.417,0.875,0.287,0.414,0.339,0.834
29,12.0,0.303,0.505,0.379,0.84,0.402,0.462,0.43,0.881,0.287,0.441,0.347,0.84
30,13.0,0.303,0.58,0.398,0.852,0.402,0.531,0.457,0.894,0.259,0.457,0.33,0.844
31,14.0,0.303,0.595,0.402,0.854,0.402,0.544,0.462,0.896,0.259,0.468,0.333,0.846
32,15.0,0.303,0.662,0.416,0.863,0.402,0.606,0.483,0.904,0.259,0.521,0.346,0.854
33,16.0,0.303,0.701,0.423,0.867,0.402,0.642,0.494,0.908,0.259,0.552,0.352,0.858
34,17.0,0.29,0.692,0.409,0.865,0.383,0.631,0.477,0.906,0.259,0.569,0.356,0.861
35,18.0,0.265,0.672,0.38,0.861,0.364,0.639,0.464,0.906,0.259,0.607,0.363,0.865
36,19.0,0.265,0.719,0.387,0.865,0.364,0.684,0.476,0.911,0.259,0.649,0.37,0.869
