,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.645,0.135,0.223,0.4,0.658,0.084,0.149,0.387,0.589,0.111,0.187,0.383
1,3.0,0.484,0.168,0.249,0.611,0.421,0.089,0.147,0.602,0.339,0.106,0.162,0.576
2,4.0,0.516,0.269,0.354,0.748,0.474,0.151,0.229,0.74,0.232,0.109,0.149,0.68
3,5.0,0.21,0.144,0.171,0.729,0.211,0.089,0.125,0.759,0.143,0.089,0.11,0.72
4,6.0,0.339,0.3,0.318,0.806,0.316,0.171,0.222,0.819,0.107,0.086,0.095,0.755
5,7.0,0.258,0.242,0.25,0.794,0.316,0.182,0.231,0.828,0.143,0.121,0.131,0.772
6,8.0,0.29,0.34,0.313,0.83,0.342,0.245,0.286,0.86,0.161,0.17,0.165,0.804
7,9.0,0.194,0.255,0.22,0.817,0.211,0.17,0.188,0.852,0.107,0.128,0.117,0.804
8,10.0,0.113,0.184,0.14,0.815,0.158,0.158,0.158,0.862,0.089,0.132,0.106,0.819
9,11.0,0.21,0.325,0.255,0.837,0.263,0.25,0.256,0.875,0.107,0.15,0.125,0.819
10,12.0,0.081,0.167,0.109,0.824,0.132,0.167,0.147,0.875,0.054,0.1,0.07,0.828
11,13.0,0.129,0.276,0.176,0.839,0.158,0.207,0.179,0.882,0.089,0.172,0.118,0.839
12,14.0,0.113,0.318,0.167,0.849,0.132,0.227,0.167,0.892,0.107,0.273,0.154,0.858
13,15.0,0.065,0.174,0.094,0.834,0.079,0.13,0.098,0.882,0.089,0.217,0.127,0.852
14,16.0,0.242,0.142,0.179,0.703,0.211,0.075,0.111,0.725,0.304,0.16,0.21,0.725
15,17.0,0.21,0.141,0.169,0.725,0.184,0.076,0.108,0.751,0.125,0.076,0.095,0.712
16,18.0,0.097,0.076,0.085,0.723,0.105,0.051,0.068,0.766,0.125,0.089,0.104,0.74
17,19.0,0.161,0.149,0.155,0.766,0.158,0.09,0.114,0.8,0.232,0.194,0.211,0.791
18,20.0,0.177,0.196,0.186,0.794,0.132,0.089,0.106,0.819,0.125,0.125,0.125,0.789
19,2.0,0.716,0.178,0.285,0.419,0.757,0.13,0.221,0.407,0.678,0.155,0.253,0.403
20,3.0,0.587,0.234,0.335,0.623,0.589,0.162,0.254,0.615,0.483,0.177,0.259,0.59
21,4.0,0.613,0.353,0.448,0.757,0.626,0.249,0.356,0.748,0.399,0.212,0.277,0.69
22,5.0,0.368,0.27,0.311,0.738,0.439,0.223,0.296,0.767,0.329,0.223,0.266,0.729
23,6.0,0.471,0.427,0.448,0.813,0.514,0.322,0.396,0.825,0.301,0.251,0.274,0.763
24,7.0,0.406,0.387,0.396,0.8,0.514,0.337,0.407,0.834,0.329,0.288,0.307,0.779
25,8.0,0.432,0.489,0.459,0.836,0.533,0.416,0.467,0.865,0.343,0.358,0.35,0.811
26,9.0,0.355,0.44,0.393,0.823,0.439,0.376,0.405,0.856,0.301,0.344,0.321,0.811
27,10.0,0.29,0.421,0.344,0.821,0.402,0.402,0.402,0.867,0.287,0.383,0.328,0.825
28,11.0,0.368,0.514,0.429,0.842,0.477,0.459,0.468,0.879,0.301,0.387,0.339,0.825
29,12.0,0.265,0.451,0.333,0.829,0.383,0.451,0.414,0.879,0.259,0.407,0.316,0.834
30,13.0,0.303,0.528,0.385,0.844,0.402,0.483,0.439,0.886,0.287,0.461,0.353,0.844
31,14.0,0.29,0.6,0.391,0.854,0.383,0.547,0.451,0.896,0.301,0.573,0.394,0.863
32,15.0,0.252,0.506,0.336,0.84,0.346,0.481,0.402,0.886,0.287,0.532,0.373,0.856
33,16.0,0.394,0.251,0.307,0.713,0.439,0.193,0.269,0.734,0.455,0.267,0.337,0.734
34,17.0,0.368,0.265,0.308,0.734,0.421,0.209,0.28,0.759,0.315,0.209,0.251,0.721
35,18.0,0.277,0.228,0.25,0.732,0.364,0.206,0.264,0.773,0.315,0.238,0.271,0.748
36,19.0,0.329,0.309,0.319,0.773,0.402,0.261,0.316,0.806,0.399,0.345,0.37,0.798
