,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,-0.274,-2.429,-0.493,0.778,-0.5,-2.714,-0.844,0.822,-0.304,-2.429,-0.54,0.791
1,3.0,0.484,0.141,0.218,0.538,0.579,0.103,0.175,0.555,0.571,0.15,0.238,0.559
2,4.0,0.984,0.135,0.238,0.159,0.974,0.082,0.151,0.108,0.929,0.115,0.205,0.133
3,5.0,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
4,6.0,0.968,0.138,0.241,0.187,0.947,0.083,0.152,0.135,0.929,0.119,0.211,0.166
5,7.0,0.968,0.133,0.234,0.155,0.974,0.082,0.151,0.108,1.0,0.124,0.221,0.151
6,8.0,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
7,9.0,-0.161,-0.625,-0.256,0.789,-0.263,-0.625,-0.37,0.841,-0.214,-0.75,-0.333,0.794
8,10.0,1.0,0.134,0.237,0.14,1.0,0.082,0.152,0.088,0.982,0.119,0.212,0.123
9,11.0,-0.274,-17.0,-0.54,0.791,-0.421,-16.0,-0.821,0.847,-0.321,-18.0,-0.632,0.8
10,12.0,0.871,0.149,0.255,0.32,0.895,0.094,0.17,0.286,0.786,0.122,0.211,0.29
11,13.0,0.726,0.161,0.264,0.46,0.737,0.1,0.177,0.439,0.5,0.1,0.167,0.4
12,14.0,0.79,0.149,0.251,0.372,0.763,0.088,0.158,0.338,0.679,0.116,0.198,0.338
13,15.0,1.0,0.133,0.235,0.133,1.0,0.082,0.151,0.082,1.0,0.12,0.215,0.12
14,16.0,0.29,0.165,0.211,0.71,0.263,0.092,0.136,0.727,0.179,0.092,0.121,0.688
15,17.0,0.823,0.161,0.269,0.404,0.816,0.098,0.175,0.37,0.732,0.129,0.22,0.374
16,18.0,0.968,0.13,0.23,0.135,0.947,0.078,0.145,0.084,0.964,0.117,0.209,0.123
17,19.0,0.823,0.158,0.265,0.391,0.763,0.09,0.161,0.348,0.661,0.115,0.195,0.344
18,20.0,0.468,0.206,0.286,0.688,0.526,0.142,0.223,0.701,0.321,0.128,0.183,0.654
19,2.0,0.477,0.451,0.464,0.822,0.523,0.341,0.413,0.835,0.322,0.28,0.3,0.776
20,3.0,0.548,0.237,0.331,0.642,0.589,0.175,0.27,0.646,0.413,0.164,0.235,0.6
21,4.0,0.303,0.285,0.294,0.765,0.383,0.248,0.301,0.802,0.231,0.2,0.214,0.748
22,5.0,0.355,0.249,0.293,0.723,0.421,0.204,0.274,0.752,0.287,0.186,0.225,0.707
23,6.0,1.0,0.165,0.283,0.182,1.0,0.114,0.204,0.132,0.972,0.148,0.256,0.161
24,7.0,0.948,0.169,0.287,0.24,0.981,0.121,0.215,0.203,0.916,0.151,0.259,0.22
25,8.0,0.155,0.375,0.219,0.822,0.243,0.406,0.304,0.876,0.168,0.375,0.232,0.835
26,9.0,0.219,0.362,0.273,0.812,0.318,0.362,0.338,0.862,0.224,0.34,0.27,0.82
27,10.0,0.148,0.511,0.23,0.84,0.215,0.511,0.303,0.89,0.147,0.467,0.223,0.848
28,11.0,0.206,0.302,0.245,0.795,0.299,0.302,0.3,0.845,0.168,0.226,0.193,0.791
29,12.0,0.858,0.172,0.287,0.311,0.869,0.12,0.211,0.278,0.804,0.149,0.251,0.286
30,13.0,0.819,0.24,0.371,0.553,0.832,0.168,0.28,0.523,0.636,0.172,0.271,0.49
31,14.0,0.832,0.203,0.326,0.444,0.85,0.143,0.245,0.415,0.72,0.162,0.264,0.403
32,15.0,1.0,0.162,0.279,0.165,1.0,0.112,0.201,0.116,0.986,0.147,0.256,0.149
33,16.0,1.0,0.161,0.278,0.161,1.0,0.111,0.2,0.111,1.0,0.149,0.259,0.149
34,17.0,0.781,0.187,0.302,0.417,0.794,0.131,0.225,0.392,0.762,0.168,0.276,0.405
35,18.0,0.987,0.16,0.275,0.161,0.981,0.11,0.197,0.111,0.986,0.147,0.256,0.149
36,19.0,0.884,0.185,0.306,0.355,0.888,0.129,0.225,0.317,0.734,0.142,0.238,0.301
