,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.742,0.146,0.244,0.387,0.658,0.079,0.142,0.348,0.625,0.111,0.189,0.353
1,3.0,0.371,0.13,0.192,0.585,0.316,0.068,0.112,0.589,0.304,0.096,0.146,0.572
2,4.0,0.435,0.229,0.3,0.729,0.395,0.127,0.192,0.729,0.161,0.076,0.103,0.665
3,5.0,0.355,0.244,0.289,0.768,0.395,0.167,0.234,0.789,0.161,0.1,0.123,0.725
4,6.0,0.339,0.266,0.298,0.787,0.342,0.165,0.222,0.804,0.214,0.152,0.178,0.761
5,7.0,0.371,0.404,0.387,0.843,0.447,0.298,0.358,0.869,0.107,0.105,0.106,0.783
6,8.0,0.161,0.204,0.18,0.804,0.158,0.122,0.138,0.839,0.143,0.163,0.152,0.809
7,9.0,0.194,0.255,0.22,0.817,0.289,0.234,0.259,0.865,0.143,0.17,0.155,0.813
8,10.0,0.113,0.194,0.143,0.819,0.132,0.139,0.135,0.862,0.107,0.167,0.13,0.828
9,11.0,0.097,0.182,0.126,0.822,0.132,0.152,0.141,0.869,0.107,0.182,0.135,0.834
10,12.0,0.097,0.214,0.133,0.832,0.132,0.179,0.152,0.88,0.089,0.179,0.119,0.841
11,13.0,0.113,0.259,0.157,0.839,0.158,0.222,0.185,0.886,0.107,0.222,0.145,0.847
12,14.0,0.081,0.238,0.12,0.843,0.105,0.19,0.136,0.89,0.054,0.143,0.078,0.847
13,15.0,0.081,0.217,0.118,0.839,0.132,0.217,0.164,0.89,0.018,0.043,0.025,0.834
14,16.0,0.113,0.35,0.171,0.854,0.158,0.3,0.207,0.901,0.107,0.3,0.158,0.862
15,17.0,0.065,0.25,0.103,0.849,0.105,0.25,0.148,0.901,0.054,0.188,0.083,0.858
16,18.0,0.065,0.286,0.105,0.854,0.105,0.286,0.154,0.905,0.054,0.214,0.086,0.862
17,19.0,0.065,0.308,0.107,0.856,0.079,0.231,0.118,0.903,0.054,0.231,0.087,0.865
18,20.0,0.065,0.333,0.108,0.858,0.079,0.25,0.12,0.905,0.054,0.25,0.088,0.867
19,2.0,0.794,0.186,0.301,0.407,0.757,0.123,0.211,0.369,0.706,0.153,0.251,0.374
20,3.0,0.497,0.2,0.285,0.598,0.514,0.143,0.224,0.602,0.455,0.169,0.246,0.586
21,4.0,0.548,0.318,0.403,0.738,0.57,0.228,0.326,0.738,0.343,0.184,0.239,0.675
22,5.0,0.484,0.355,0.41,0.775,0.57,0.289,0.384,0.796,0.343,0.232,0.277,0.734
23,6.0,0.471,0.386,0.424,0.794,0.533,0.302,0.385,0.811,0.385,0.291,0.331,0.769
24,7.0,0.497,0.531,0.513,0.848,0.607,0.448,0.516,0.873,0.301,0.297,0.299,0.79
25,8.0,0.329,0.395,0.359,0.811,0.402,0.333,0.364,0.844,0.329,0.364,0.346,0.815
26,9.0,0.355,0.44,0.393,0.823,0.495,0.424,0.457,0.869,0.329,0.376,0.351,0.819
27,10.0,0.29,0.437,0.349,0.825,0.383,0.398,0.39,0.867,0.301,0.417,0.35,0.834
28,11.0,0.277,0.443,0.341,0.827,0.383,0.423,0.402,0.873,0.301,0.443,0.358,0.84
29,12.0,0.277,0.494,0.355,0.838,0.383,0.471,0.423,0.883,0.287,0.471,0.357,0.846
30,13.0,0.29,0.529,0.375,0.844,0.402,0.506,0.448,0.89,0.301,0.506,0.377,0.852
31,14.0,0.265,0.562,0.36,0.848,0.364,0.534,0.433,0.894,0.259,0.507,0.343,0.852
32,15.0,0.265,0.532,0.353,0.844,0.383,0.532,0.446,0.894,0.231,0.429,0.3,0.84
33,16.0,0.29,0.634,0.398,0.858,0.402,0.606,0.483,0.904,0.301,0.606,0.402,0.867
34,17.0,0.252,0.619,0.358,0.854,0.364,0.619,0.459,0.904,0.259,0.587,0.359,0.863
35,18.0,0.252,0.661,0.364,0.858,0.364,0.661,0.47,0.908,0.259,0.627,0.366,0.867
36,19.0,0.252,0.684,0.368,0.861,0.346,0.649,0.451,0.906,0.259,0.649,0.37,0.869
