,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.548,0.097,0.165,0.499,0.557,0.043,0.081,0.495,0.565,0.016,0.031,0.492
1,3.0,0.476,0.095,0.158,0.543,0.505,0.044,0.081,0.547,0.504,0.016,0.031,0.547
2,4.0,0.308,0.097,0.148,0.68,0.316,0.044,0.077,0.7,0.326,0.017,0.032,0.71
3,5.0,0.262,0.101,0.146,0.722,0.274,0.046,0.079,0.747,0.281,0.017,0.033,0.759
4,6.0,0.232,0.102,0.142,0.747,0.241,0.047,0.079,0.775,0.258,0.018,0.034,0.788
5,7.0,0.225,0.101,0.139,0.748,0.238,0.047,0.078,0.777,0.255,0.018,0.034,0.79
6,8.0,0.2,0.102,0.135,0.769,0.211,0.047,0.077,0.8,0.216,0.018,0.033,0.815
7,9.0,0.199,0.102,0.135,0.77,0.208,0.047,0.077,0.801,0.215,0.018,0.033,0.816
8,10.0,0.156,0.101,0.123,0.798,0.152,0.043,0.067,0.833,0.177,0.019,0.034,0.851
9,11.0,0.154,0.101,0.122,0.799,0.151,0.043,0.067,0.834,0.175,0.018,0.033,0.852
10,12.0,0.148,0.1,0.12,0.803,0.143,0.043,0.066,0.839,0.163,0.018,0.032,0.857
11,13.0,0.141,0.101,0.118,0.809,0.139,0.044,0.066,0.845,0.154,0.018,0.032,0.864
12,14.0,0.137,0.1,0.116,0.811,0.132,0.042,0.064,0.847,0.147,0.017,0.031,0.866
13,15.0,0.129,0.101,0.113,0.818,0.121,0.042,0.062,0.855,0.134,0.017,0.03,0.875
14,16.0,0.128,0.102,0.113,0.818,0.12,0.042,0.062,0.855,0.134,0.017,0.03,0.875
15,17.0,0.12,0.101,0.11,0.824,0.116,0.043,0.063,0.862,0.128,0.017,0.03,0.881
16,18.0,0.104,0.105,0.104,0.839,0.098,0.044,0.06,0.879,0.11,0.018,0.031,0.899
17,19.0,0.092,0.109,0.1,0.85,0.086,0.045,0.059,0.891,0.098,0.019,0.031,0.912
18,20.0,0.092,0.11,0.1,0.85,0.086,0.045,0.059,0.891,0.098,0.019,0.031,0.912
19,2.0,0.559,0.101,0.171,0.5,0.582,0.048,0.088,0.496,0.624,0.021,0.04,0.493
20,3.0,0.489,0.1,0.165,0.544,0.532,0.049,0.09,0.548,0.572,0.021,0.041,0.548
21,4.0,0.325,0.105,0.158,0.681,0.354,0.052,0.09,0.701,0.417,0.024,0.046,0.71
22,5.0,0.28,0.109,0.157,0.723,0.314,0.056,0.094,0.748,0.379,0.027,0.05,0.759
23,6.0,0.251,0.112,0.155,0.748,0.283,0.057,0.095,0.775,0.359,0.029,0.054,0.789
24,7.0,0.244,0.111,0.152,0.748,0.28,0.057,0.095,0.777,0.356,0.029,0.054,0.791
25,8.0,0.22,0.114,0.15,0.769,0.254,0.059,0.096,0.8,0.322,0.03,0.055,0.815
26,9.0,0.219,0.114,0.15,0.77,0.251,0.059,0.096,0.801,0.321,0.03,0.055,0.816
27,10.0,0.177,0.116,0.14,0.799,0.198,0.059,0.09,0.833,0.289,0.034,0.061,0.851
28,11.0,0.175,0.115,0.139,0.8,0.197,0.059,0.091,0.834,0.287,0.034,0.061,0.853
29,12.0,0.169,0.115,0.137,0.804,0.189,0.059,0.09,0.839,0.276,0.034,0.061,0.858
30,13.0,0.162,0.117,0.136,0.809,0.185,0.06,0.091,0.845,0.269,0.035,0.062,0.864
31,14.0,0.158,0.116,0.134,0.811,0.179,0.06,0.09,0.847,0.263,0.035,0.062,0.866
32,15.0,0.15,0.119,0.133,0.818,0.168,0.06,0.089,0.855,0.251,0.036,0.063,0.875
33,16.0,0.15,0.119,0.133,0.819,0.168,0.06,0.089,0.856,0.251,0.036,0.063,0.875
34,17.0,0.142,0.119,0.13,0.824,0.164,0.063,0.091,0.862,0.246,0.038,0.065,0.882
35,18.0,0.126,0.127,0.126,0.839,0.147,0.067,0.092,0.879,0.231,0.042,0.072,0.9
36,19.0,0.114,0.135,0.124,0.85,0.135,0.072,0.094,0.891,0.22,0.047,0.078,0.912
