,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.512,0.093,0.158,0.505,0.521,0.042,0.077,0.504,0.502,0.015,0.029,0.503
1,3.0,0.376,0.097,0.154,0.628,0.381,0.043,0.078,0.641,0.358,0.015,0.029,0.646
2,4.0,0.322,0.098,0.15,0.67,0.336,0.045,0.079,0.689,0.322,0.016,0.03,0.697
3,5.0,0.263,0.1,0.145,0.719,0.265,0.044,0.076,0.743,0.251,0.015,0.029,0.755
4,6.0,0.213,0.1,0.136,0.756,0.217,0.045,0.074,0.785,0.207,0.016,0.029,0.799
5,7.0,0.19,0.095,0.127,0.764,0.189,0.042,0.068,0.795,0.191,0.015,0.029,0.811
6,8.0,0.174,0.1,0.127,0.784,0.185,0.047,0.074,0.817,0.182,0.017,0.031,0.833
7,9.0,0.155,0.106,0.126,0.806,0.162,0.049,0.075,0.841,0.151,0.017,0.03,0.858
8,10.0,0.135,0.102,0.116,0.814,0.141,0.047,0.07,0.851,0.145,0.017,0.031,0.869
9,11.0,0.113,0.103,0.107,0.831,0.113,0.045,0.065,0.87,0.126,0.019,0.032,0.89
10,12.0,0.117,0.105,0.111,0.829,0.112,0.044,0.063,0.868,0.12,0.017,0.03,0.887
11,13.0,0.113,0.101,0.107,0.829,0.113,0.044,0.064,0.868,0.112,0.016,0.028,0.887
12,14.0,0.124,0.105,0.114,0.826,0.124,0.046,0.067,0.864,0.123,0.017,0.03,0.883
13,15.0,0.094,0.103,0.098,0.844,0.088,0.042,0.057,0.884,0.096,0.017,0.029,0.905
14,16.0,0.098,0.106,0.102,0.844,0.098,0.047,0.063,0.885,0.091,0.016,0.027,0.905
15,17.0,0.082,0.106,0.093,0.854,0.087,0.049,0.063,0.897,0.095,0.02,0.033,0.918
16,18.0,0.083,0.122,0.099,0.863,0.089,0.057,0.07,0.906,0.096,0.023,0.036,0.926
17,19.0,0.078,0.113,0.092,0.861,0.087,0.055,0.067,0.905,0.091,0.021,0.035,0.926
18,20.0,0.075,0.105,0.088,0.859,0.082,0.051,0.063,0.902,0.08,0.018,0.03,0.923
19,2.0,0.524,0.097,0.164,0.506,0.547,0.046,0.085,0.506,0.57,0.019,0.037,0.504
20,3.0,0.391,0.103,0.163,0.629,0.414,0.049,0.088,0.642,0.445,0.021,0.041,0.647
21,4.0,0.338,0.105,0.16,0.671,0.372,0.052,0.091,0.69,0.414,0.023,0.044,0.698
22,5.0,0.281,0.108,0.156,0.72,0.305,0.053,0.091,0.744,0.353,0.025,0.046,0.756
23,6.0,0.232,0.11,0.15,0.756,0.259,0.056,0.092,0.785,0.315,0.027,0.05,0.799
24,7.0,0.21,0.107,0.141,0.764,0.233,0.054,0.087,0.796,0.301,0.028,0.051,0.811
25,8.0,0.194,0.113,0.143,0.784,0.229,0.06,0.095,0.818,0.293,0.031,0.056,0.834
26,9.0,0.175,0.121,0.143,0.806,0.207,0.065,0.099,0.842,0.266,0.033,0.059,0.858
27,10.0,0.157,0.118,0.135,0.814,0.188,0.064,0.096,0.851,0.26,0.036,0.063,0.869
28,11.0,0.134,0.123,0.128,0.831,0.161,0.067,0.094,0.87,0.245,0.041,0.07,0.89
29,12.0,0.139,0.124,0.131,0.83,0.16,0.065,0.092,0.868,0.239,0.039,0.067,0.888
30,13.0,0.135,0.121,0.127,0.829,0.161,0.065,0.093,0.868,0.232,0.038,0.065,0.888
31,14.0,0.145,0.124,0.134,0.826,0.171,0.066,0.095,0.864,0.242,0.037,0.065,0.883
32,15.0,0.116,0.127,0.121,0.844,0.137,0.068,0.091,0.885,0.219,0.043,0.072,0.906
33,16.0,0.12,0.13,0.125,0.845,0.147,0.072,0.097,0.885,0.214,0.042,0.07,0.905
34,17.0,0.105,0.134,0.118,0.855,0.137,0.079,0.1,0.897,0.217,0.05,0.082,0.918
35,18.0,0.106,0.153,0.125,0.863,0.139,0.091,0.11,0.906,0.218,0.057,0.091,0.927
36,19.0,0.1,0.144,0.118,0.862,0.136,0.089,0.107,0.905,0.214,0.056,0.089,0.926
