,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.382,0.097,0.155,0.623,0.353,0.039,0.071,0.633,0.325,0.013,0.026,0.639
1,3.0,0.468,0.1,0.164,0.569,0.442,0.041,0.076,0.57,0.415,0.014,0.027,0.572
2,4.0,0.303,0.096,0.146,0.68,0.286,0.04,0.07,0.699,0.236,0.012,0.023,0.708
3,5.0,0.34,0.097,0.151,0.653,0.313,0.039,0.07,0.667,0.28,0.013,0.025,0.676
4,6.0,0.936,0.093,0.169,0.167,0.93,0.041,0.078,0.123,0.93,0.015,0.029,0.101
5,7.0,0.805,0.095,0.17,0.29,0.797,0.041,0.079,0.259,0.783,0.015,0.029,0.243
6,8.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
7,9.0,0.323,0.1,0.153,0.676,0.298,0.041,0.072,0.693,0.255,0.013,0.024,0.701
8,10.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
9,11.0,0.27,0.099,0.144,0.711,0.247,0.04,0.068,0.732,0.194,0.011,0.022,0.743
10,12.0,0.412,0.098,0.158,0.603,0.389,0.041,0.074,0.611,0.356,0.014,0.026,0.615
11,13.0,0.404,0.097,0.156,0.606,0.381,0.04,0.073,0.614,0.349,0.013,0.026,0.619
12,14.0,0.432,0.099,0.16,0.591,0.407,0.041,0.074,0.596,0.378,0.014,0.027,0.6
13,15.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.045,0.999,0.015,0.029,0.02
14,16.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
15,17.0,0.287,0.099,0.147,0.7,0.269,0.041,0.071,0.72,0.206,0.011,0.022,0.73
16,18.0,0.758,0.098,0.173,0.346,0.728,0.041,0.078,0.318,0.745,0.015,0.03,0.307
17,19.0,0.424,0.098,0.159,0.594,0.397,0.04,0.073,0.599,0.371,0.014,0.027,0.604
18,20.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
19,2.0,0.796,0.1,0.178,0.319,0.773,0.044,0.083,0.288,0.818,0.019,0.036,0.275
20,3.0,0.5,0.104,0.172,0.554,0.493,0.046,0.085,0.554,0.522,0.02,0.038,0.555
21,4.0,1.0,0.093,0.17,0.098,1.0,0.042,0.081,0.047,0.998,0.017,0.033,0.022
22,5.0,1.0,0.093,0.17,0.099,0.999,0.042,0.081,0.048,0.998,0.017,0.033,0.023
23,6.0,0.909,0.097,0.175,0.205,0.911,0.044,0.084,0.163,0.924,0.018,0.035,0.143
24,7.0,0.621,0.102,0.176,0.462,0.615,0.046,0.085,0.449,0.644,0.019,0.037,0.444
25,8.0,0.322,0.109,0.163,0.694,0.335,0.051,0.089,0.713,0.362,0.022,0.042,0.722
26,9.0,0.381,0.109,0.169,0.654,0.388,0.05,0.089,0.667,0.408,0.021,0.04,0.673
27,10.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
28,11.0,0.313,0.108,0.16,0.697,0.323,0.05,0.087,0.717,0.357,0.022,0.042,0.727
29,12.0,0.477,0.104,0.171,0.571,0.476,0.047,0.085,0.573,0.505,0.02,0.038,0.575
30,13.0,0.42,0.104,0.167,0.611,0.411,0.046,0.083,0.618,0.453,0.02,0.039,0.624
31,14.0,0.42,0.104,0.167,0.611,0.411,0.046,0.083,0.618,0.453,0.02,0.039,0.624
32,15.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
33,16.0,0.302,0.109,0.16,0.706,0.316,0.051,0.089,0.727,0.345,0.022,0.042,0.738
34,17.0,0.403,0.103,0.165,0.621,0.397,0.046,0.083,0.63,0.438,0.02,0.039,0.637
35,18.0,0.958,0.096,0.174,0.158,0.959,0.043,0.083,0.112,0.957,0.017,0.034,0.089
36,19.0,0.465,0.104,0.17,0.581,0.459,0.047,0.085,0.584,0.49,0.02,0.038,0.588
