,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.508,0.093,0.157,0.507,0.507,0.041,0.075,0.506,0.501,0.015,0.029,0.506
1,3.0,0.51,0.094,0.159,0.512,0.501,0.041,0.075,0.51,0.503,0.015,0.029,0.51
2,4.0,0.465,0.092,0.153,0.535,0.463,0.04,0.074,0.539,0.466,0.015,0.029,0.541
3,5.0,0.45,0.091,0.151,0.541,0.462,0.041,0.075,0.547,0.455,0.015,0.029,0.549
4,6.0,0.399,0.097,0.156,0.61,0.394,0.042,0.076,0.619,0.382,0.015,0.029,0.624
5,7.0,0.279,0.099,0.146,0.705,0.291,0.045,0.078,0.729,0.296,0.017,0.032,0.739
6,8.0,0.26,0.11,0.154,0.742,0.279,0.052,0.087,0.768,0.256,0.017,0.033,0.779
7,9.0,0.197,0.107,0.139,0.779,0.203,0.048,0.078,0.81,0.204,0.018,0.033,0.825
8,10.0,0.181,0.113,0.139,0.798,0.189,0.052,0.082,0.831,0.182,0.018,0.033,0.847
9,11.0,0.158,0.11,0.13,0.809,0.161,0.05,0.076,0.844,0.154,0.017,0.031,0.861
10,12.0,0.138,0.113,0.125,0.824,0.144,0.052,0.076,0.861,0.142,0.019,0.033,0.879
11,13.0,0.116,0.108,0.112,0.833,0.122,0.05,0.071,0.873,0.13,0.019,0.034,0.892
12,14.0,0.105,0.108,0.106,0.841,0.109,0.049,0.068,0.881,0.107,0.018,0.03,0.901
13,15.0,0.103,0.112,0.107,0.845,0.114,0.054,0.074,0.886,0.117,0.02,0.035,0.905
14,16.0,0.093,0.108,0.1,0.848,0.093,0.047,0.063,0.89,0.113,0.021,0.036,0.911
15,17.0,0.092,0.117,0.103,0.855,0.101,0.056,0.072,0.897,0.119,0.024,0.04,0.917
16,18.0,0.089,0.118,0.101,0.857,0.099,0.057,0.073,0.9,0.092,0.02,0.032,0.92
17,19.0,0.087,0.123,0.102,0.861,0.093,0.058,0.071,0.904,0.089,0.02,0.033,0.924
18,20.0,0.075,0.111,0.089,0.862,0.083,0.054,0.066,0.906,0.077,0.018,0.03,0.927
19,2.0,0.521,0.097,0.164,0.508,0.534,0.045,0.083,0.507,0.569,0.019,0.037,0.507
20,3.0,0.522,0.098,0.165,0.513,0.528,0.045,0.083,0.511,0.571,0.02,0.038,0.511
21,4.0,0.478,0.096,0.16,0.537,0.492,0.045,0.082,0.54,0.539,0.02,0.038,0.542
22,5.0,0.464,0.095,0.158,0.542,0.491,0.046,0.083,0.548,0.529,0.02,0.038,0.55
23,6.0,0.414,0.102,0.164,0.61,0.427,0.048,0.086,0.62,0.466,0.021,0.04,0.625
24,7.0,0.297,0.107,0.157,0.706,0.329,0.054,0.092,0.729,0.391,0.026,0.048,0.74
25,8.0,0.278,0.119,0.167,0.743,0.318,0.062,0.103,0.769,0.356,0.028,0.051,0.779
26,9.0,0.217,0.119,0.154,0.779,0.246,0.061,0.098,0.811,0.312,0.031,0.057,0.826
27,10.0,0.201,0.127,0.156,0.799,0.233,0.067,0.104,0.832,0.292,0.034,0.06,0.847
28,11.0,0.178,0.126,0.148,0.809,0.207,0.066,0.1,0.844,0.268,0.034,0.061,0.861
29,12.0,0.16,0.131,0.144,0.825,0.19,0.071,0.103,0.862,0.258,0.038,0.067,0.879
30,13.0,0.138,0.128,0.133,0.834,0.169,0.071,0.1,0.873,0.248,0.042,0.071,0.892
31,14.0,0.127,0.13,0.129,0.841,0.157,0.073,0.1,0.881,0.228,0.042,0.071,0.901
32,15.0,0.125,0.135,0.13,0.845,0.162,0.079,0.107,0.886,0.237,0.046,0.078,0.905
33,16.0,0.115,0.133,0.123,0.849,0.142,0.074,0.098,0.89,0.233,0.049,0.081,0.911
34,17.0,0.115,0.144,0.128,0.855,0.149,0.085,0.108,0.897,0.239,0.054,0.088,0.918
35,18.0,0.111,0.146,0.126,0.857,0.148,0.088,0.11,0.9,0.215,0.051,0.083,0.92
36,19.0,0.11,0.153,0.128,0.862,0.142,0.09,0.11,0.904,0.212,0.054,0.086,0.924
