,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.484,0.133,0.209,0.512,0.474,0.08,0.137,0.512,0.411,0.102,0.164,0.495
1,3.0,0.484,0.166,0.247,0.606,0.474,0.099,0.164,0.606,0.286,0.088,0.135,0.559
2,4.0,0.484,0.191,0.274,0.658,0.474,0.115,0.185,0.658,0.286,0.102,0.15,0.611
3,5.0,0.339,0.193,0.246,0.723,0.368,0.128,0.19,0.744,0.232,0.119,0.158,0.701
4,6.0,0.274,0.181,0.218,0.738,0.316,0.128,0.182,0.768,0.179,0.106,0.133,0.72
5,7.0,0.258,0.216,0.235,0.776,0.289,0.149,0.196,0.806,0.143,0.108,0.123,0.755
6,8.0,0.177,0.208,0.191,0.8,0.211,0.151,0.176,0.839,0.125,0.132,0.128,0.796
7,9.0,0.161,0.213,0.183,0.809,0.211,0.17,0.188,0.852,0.125,0.149,0.136,0.809
8,10.0,0.129,0.229,0.165,0.826,0.158,0.171,0.164,0.869,0.089,0.143,0.11,0.826
9,11.0,0.129,0.258,0.172,0.834,0.158,0.194,0.174,0.877,0.089,0.161,0.115,0.834
10,12.0,0.129,0.276,0.176,0.839,0.158,0.207,0.179,0.882,0.089,0.172,0.118,0.839
11,13.0,0.129,0.286,0.178,0.841,0.158,0.214,0.182,0.884,0.089,0.179,0.119,0.841
12,14.0,0.129,0.308,0.182,0.845,0.158,0.231,0.187,0.888,0.089,0.192,0.122,0.845
13,15.0,0.129,0.364,0.19,0.854,0.158,0.273,0.2,0.897,0.089,0.227,0.128,0.854
14,16.0,0.129,0.381,0.193,0.856,0.158,0.286,0.203,0.899,0.089,0.238,0.13,0.856
15,17.0,0.129,0.4,0.195,0.858,0.158,0.3,0.207,0.901,0.089,0.25,0.132,0.858
16,18.0,0.097,0.353,0.152,0.856,0.132,0.294,0.182,0.903,0.089,0.294,0.137,0.865
17,19.0,0.097,0.375,0.154,0.858,0.132,0.312,0.185,0.905,0.089,0.312,0.139,0.867
18,20.0,0.097,0.4,0.156,0.86,0.132,0.333,0.189,0.908,0.089,0.333,0.141,0.869
19,2.0,0.587,0.189,0.286,0.528,0.626,0.139,0.228,0.528,0.538,0.16,0.247,0.511
20,3.0,0.587,0.232,0.332,0.619,0.626,0.17,0.268,0.619,0.441,0.16,0.235,0.573
21,4.0,0.587,0.264,0.364,0.669,0.626,0.194,0.296,0.669,0.441,0.183,0.258,0.623
22,5.0,0.471,0.293,0.361,0.732,0.551,0.237,0.331,0.752,0.399,0.229,0.291,0.711
23,6.0,0.419,0.297,0.348,0.746,0.514,0.251,0.337,0.775,0.357,0.233,0.282,0.729
24,7.0,0.406,0.352,0.377,0.784,0.495,0.296,0.371,0.813,0.329,0.263,0.292,0.763
25,8.0,0.342,0.387,0.363,0.806,0.439,0.343,0.385,0.844,0.315,0.328,0.321,0.802
26,9.0,0.329,0.408,0.364,0.815,0.439,0.376,0.405,0.856,0.315,0.36,0.336,0.815
27,10.0,0.303,0.465,0.367,0.831,0.402,0.426,0.413,0.873,0.287,0.406,0.336,0.831
28,11.0,0.303,0.505,0.379,0.84,0.402,0.462,0.43,0.881,0.287,0.441,0.347,0.84
29,12.0,0.303,0.528,0.385,0.844,0.402,0.483,0.439,0.886,0.287,0.461,0.353,0.844
30,13.0,0.303,0.54,0.388,0.846,0.402,0.494,0.443,0.888,0.287,0.471,0.357,0.846
31,14.0,0.303,0.566,0.395,0.85,0.402,0.518,0.453,0.892,0.287,0.494,0.363,0.85
32,15.0,0.303,0.627,0.409,0.858,0.402,0.573,0.473,0.9,0.287,0.547,0.376,0.858
33,16.0,0.303,0.644,0.412,0.861,0.402,0.589,0.478,0.902,0.287,0.562,0.38,0.861
34,17.0,0.303,0.662,0.416,0.863,0.402,0.606,0.483,0.904,0.287,0.577,0.383,0.863
35,18.0,0.277,0.662,0.391,0.861,0.383,0.631,0.477,0.906,0.287,0.631,0.394,0.869
36,19.0,0.277,0.683,0.394,0.863,0.383,0.651,0.482,0.908,0.287,0.651,0.398,0.871
