,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.516,0.142,0.223,0.52,0.5,0.084,0.144,0.516,0.429,0.107,0.171,0.499
1,3.0,0.452,0.17,0.247,0.632,0.474,0.109,0.177,0.641,0.286,0.097,0.145,0.594
2,4.0,0.452,0.204,0.281,0.692,0.474,0.131,0.206,0.701,0.321,0.131,0.187,0.662
3,5.0,0.258,0.163,0.2,0.725,0.316,0.122,0.176,0.759,0.196,0.112,0.143,0.716
4,6.0,0.177,0.153,0.164,0.759,0.211,0.111,0.145,0.798,0.161,0.125,0.141,0.763
5,7.0,0.177,0.18,0.179,0.783,0.211,0.131,0.162,0.822,0.143,0.131,0.137,0.783
6,8.0,0.129,0.17,0.147,0.8,0.158,0.128,0.141,0.843,0.143,0.17,0.155,0.813
7,9.0,0.129,0.186,0.152,0.809,0.184,0.163,0.173,0.856,0.125,0.163,0.141,0.817
8,10.0,0.129,0.222,0.163,0.824,0.184,0.194,0.189,0.871,0.089,0.139,0.109,0.824
9,11.0,0.129,0.242,0.168,0.83,0.184,0.212,0.197,0.877,0.089,0.152,0.112,0.83
10,12.0,0.129,0.276,0.176,0.839,0.158,0.207,0.179,0.882,0.089,0.172,0.118,0.839
11,13.0,0.129,0.308,0.182,0.845,0.158,0.231,0.187,0.888,0.089,0.192,0.122,0.845
12,14.0,0.129,0.32,0.184,0.847,0.184,0.28,0.222,0.895,0.089,0.2,0.123,0.847
13,15.0,0.129,0.32,0.184,0.847,0.158,0.24,0.19,0.89,0.089,0.2,0.123,0.847
14,16.0,0.129,0.364,0.19,0.854,0.158,0.273,0.2,0.897,0.089,0.227,0.128,0.854
15,17.0,0.129,0.4,0.195,0.858,0.158,0.3,0.207,0.901,0.089,0.25,0.132,0.858
16,18.0,0.097,0.353,0.152,0.856,0.132,0.294,0.182,0.903,0.089,0.294,0.137,0.865
17,19.0,0.097,0.375,0.154,0.858,0.132,0.312,0.185,0.905,0.089,0.312,0.139,0.867
18,20.0,0.097,0.4,0.156,0.86,0.132,0.333,0.189,0.908,0.089,0.333,0.141,0.869
19,2.0,0.613,0.198,0.299,0.536,0.645,0.143,0.235,0.532,0.552,0.164,0.253,0.515
20,3.0,0.561,0.241,0.337,0.644,0.626,0.186,0.286,0.652,0.441,0.175,0.25,0.607
21,4.0,0.561,0.285,0.378,0.702,0.626,0.22,0.325,0.711,0.469,0.22,0.299,0.673
22,5.0,0.406,0.278,0.33,0.734,0.514,0.242,0.329,0.767,0.371,0.233,0.286,0.725
23,6.0,0.342,0.303,0.321,0.767,0.439,0.269,0.333,0.804,0.343,0.28,0.308,0.771
24,7.0,0.342,0.346,0.344,0.79,0.439,0.307,0.362,0.827,0.329,0.307,0.318,0.79
25,8.0,0.303,0.376,0.336,0.806,0.402,0.344,0.371,0.848,0.329,0.376,0.351,0.819
26,9.0,0.303,0.402,0.346,0.815,0.421,0.385,0.402,0.861,0.315,0.385,0.346,0.823
27,10.0,0.303,0.456,0.364,0.829,0.421,0.437,0.429,0.875,0.287,0.398,0.333,0.829
28,11.0,0.303,0.485,0.373,0.836,0.421,0.464,0.441,0.881,0.287,0.423,0.342,0.836
29,12.0,0.303,0.528,0.385,0.844,0.402,0.483,0.439,0.886,0.287,0.461,0.353,0.844
30,13.0,0.303,0.566,0.395,0.85,0.402,0.518,0.453,0.892,0.287,0.494,0.363,0.85
31,14.0,0.303,0.58,0.398,0.852,0.421,0.556,0.479,0.898,0.287,0.506,0.366,0.852
32,15.0,0.303,0.58,0.398,0.852,0.402,0.531,0.457,0.894,0.287,0.506,0.366,0.852
33,16.0,0.303,0.627,0.409,0.858,0.402,0.573,0.473,0.9,0.287,0.547,0.376,0.858
34,17.0,0.303,0.662,0.416,0.863,0.402,0.606,0.483,0.904,0.287,0.577,0.383,0.863
35,18.0,0.277,0.662,0.391,0.861,0.383,0.631,0.477,0.906,0.287,0.631,0.394,0.869
36,19.0,0.277,0.683,0.394,0.863,0.383,0.651,0.482,0.908,0.287,0.651,0.398,0.871
