,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.774,0.155,0.259,0.409,0.842,0.104,0.184,0.391,0.75,0.136,0.23,0.396
1,0.2,0.532,0.19,0.28,0.634,0.526,0.115,0.189,0.63,0.321,0.103,0.157,0.583
2,0.30000000000000004,0.468,0.223,0.302,0.712,0.474,0.138,0.214,0.716,0.232,0.1,0.14,0.656
3,0.4,0.306,0.224,0.259,0.766,0.368,0.165,0.228,0.796,0.161,0.106,0.128,0.735
4,0.5,0.274,0.236,0.254,0.785,0.316,0.167,0.218,0.815,0.143,0.111,0.125,0.759
5,0.6000000000000001,0.097,0.214,0.133,0.832,0.132,0.179,0.152,0.88,0.125,0.25,0.167,0.849
6,0.7000000000000001,0.097,0.375,0.154,0.858,0.132,0.312,0.185,0.905,0.089,0.312,0.139,0.867
7,0.8,0.081,0.5,0.139,0.867,0.132,0.5,0.208,0.918,0.071,0.4,0.121,0.875
8,0.9,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
9,0.91,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
10,0.911,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
11,0.912,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
12,0.913,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
13,0.914,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
14,0.915,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
15,0.916,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
16,0.917,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
17,0.918,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
18,0.919,0.016,1.0,0.032,0.869,0.026,1.0,0.051,0.92,0.018,1.0,0.035,0.882
