,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.516,0.142,0.223,0.52,0.5,0.084,0.144,0.516,0.429,0.107,0.171,0.499
1,3.0,0.516,0.145,0.226,0.529,0.526,0.09,0.154,0.529,0.411,0.104,0.166,0.503
2,4.0,0.484,0.136,0.212,0.52,0.5,0.086,0.147,0.525,0.411,0.104,0.166,0.503
3,5.0,0.403,0.149,0.217,0.613,0.474,0.107,0.175,0.634,0.339,0.113,0.17,0.6
4,6.0,0.565,0.148,0.234,0.508,0.579,0.093,0.16,0.503,0.518,0.122,0.198,0.495
5,7.0,0.387,0.171,0.238,0.669,0.421,0.114,0.18,0.686,0.25,0.1,0.143,0.639
6,8.0,0.419,0.143,0.213,0.587,0.447,0.093,0.155,0.6,0.375,0.115,0.176,0.578
7,9.0,0.371,0.195,0.256,0.712,0.447,0.144,0.218,0.738,0.25,0.119,0.161,0.686
8,10.0,0.468,0.19,0.27,0.662,0.474,0.118,0.188,0.667,0.321,0.118,0.172,0.628
9,11.0,0.419,0.148,0.218,0.6,0.447,0.097,0.159,0.613,0.375,0.119,0.181,0.591
10,12.0,0.532,0.206,0.297,0.665,0.5,0.119,0.192,0.656,0.321,0.113,0.167,0.613
11,13.0,0.419,0.195,0.267,0.692,0.421,0.12,0.187,0.701,0.339,0.143,0.201,0.675
12,14.0,0.5,0.157,0.239,0.576,0.5,0.096,0.162,0.576,0.375,0.107,0.166,0.546
13,15.0,0.468,0.149,0.226,0.572,0.474,0.092,0.155,0.576,0.518,0.149,0.231,0.585
14,16.0,0.452,0.141,0.215,0.561,0.447,0.086,0.144,0.566,0.464,0.131,0.205,0.566
15,17.0,0.452,0.141,0.215,0.561,0.447,0.086,0.144,0.566,0.464,0.131,0.205,0.566
16,18.0,0.419,0.132,0.201,0.555,0.421,0.081,0.136,0.563,0.464,0.132,0.206,0.568
17,19.0,0.177,0.208,0.191,0.8,0.263,0.189,0.22,0.847,0.143,0.151,0.147,0.8
18,20.0,0.419,0.211,0.281,0.714,0.474,0.146,0.224,0.731,0.25,0.114,0.156,0.675
19,2.0,0.613,0.198,0.299,0.536,0.645,0.143,0.235,0.532,0.552,0.164,0.253,0.515
20,3.0,0.613,0.201,0.303,0.544,0.664,0.15,0.245,0.544,0.538,0.163,0.25,0.519
21,4.0,0.561,0.19,0.283,0.542,0.645,0.15,0.244,0.555,0.524,0.163,0.249,0.53
22,5.0,0.523,0.221,0.31,0.625,0.626,0.183,0.283,0.646,0.483,0.188,0.271,0.613
23,6.0,0.484,0.237,0.318,0.665,0.607,0.205,0.307,0.694,0.427,0.192,0.265,0.648
24,7.0,0.51,0.254,0.339,0.68,0.589,0.203,0.301,0.696,0.413,0.19,0.26,0.65
25,8.0,0.535,0.267,0.356,0.688,0.607,0.209,0.311,0.7,0.413,0.19,0.26,0.65
26,9.0,0.497,0.288,0.365,0.721,0.607,0.243,0.348,0.746,0.413,0.221,0.288,0.696
27,10.0,0.458,0.292,0.357,0.734,0.57,0.251,0.349,0.763,0.371,0.218,0.275,0.709
28,11.0,0.535,0.217,0.309,0.613,0.607,0.17,0.265,0.625,0.51,0.191,0.278,0.605
29,12.0,0.535,0.217,0.309,0.613,0.607,0.17,0.265,0.625,0.51,0.191,0.278,0.605
30,13.0,0.497,0.276,0.355,0.709,0.57,0.219,0.316,0.725,0.455,0.233,0.308,0.696
31,14.0,0.484,0.349,0.405,0.771,0.57,0.284,0.379,0.792,0.343,0.228,0.274,0.729
32,15.0,0.652,0.227,0.337,0.586,0.701,0.169,0.272,0.582,0.524,0.169,0.255,0.544
33,16.0,0.561,0.204,0.299,0.575,0.607,0.152,0.243,0.58,0.58,0.194,0.291,0.58
34,17.0,0.535,0.207,0.299,0.594,0.607,0.162,0.256,0.607,0.566,0.202,0.298,0.602
35,18.0,0.561,0.209,0.304,0.586,0.607,0.156,0.248,0.59,0.566,0.194,0.289,0.586
36,19.0,0.445,0.264,0.332,0.711,0.551,0.226,0.321,0.74,0.441,0.241,0.312,0.711
