,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.484,0.132,0.208,0.508,0.474,0.079,0.136,0.508,0.411,0.101,0.163,0.49
1,3.0,0.516,0.169,0.255,0.598,0.5,0.101,0.167,0.594,0.411,0.122,0.188,0.572
2,4.0,0.452,0.194,0.272,0.677,0.474,0.125,0.198,0.686,0.286,0.111,0.16,0.639
3,5.0,0.258,0.154,0.193,0.712,0.316,0.115,0.169,0.746,0.232,0.125,0.163,0.712
4,6.0,0.177,0.157,0.167,0.763,0.211,0.114,0.148,0.802,0.161,0.129,0.143,0.768
5,7.0,0.177,0.186,0.182,0.787,0.211,0.136,0.165,0.826,0.143,0.136,0.139,0.787
6,8.0,0.129,0.17,0.147,0.8,0.158,0.128,0.141,0.843,0.143,0.17,0.155,0.813
7,9.0,0.129,0.195,0.155,0.813,0.158,0.146,0.152,0.856,0.125,0.171,0.144,0.822
8,10.0,0.129,0.229,0.165,0.826,0.158,0.171,0.164,0.869,0.089,0.143,0.11,0.826
9,11.0,0.129,0.258,0.172,0.834,0.158,0.194,0.174,0.877,0.089,0.161,0.115,0.834
10,12.0,0.129,0.296,0.18,0.843,0.158,0.222,0.185,0.886,0.089,0.185,0.12,0.843
11,13.0,0.097,0.25,0.14,0.841,0.132,0.208,0.161,0.888,0.107,0.25,0.15,0.854
12,14.0,0.097,0.24,0.138,0.839,0.132,0.2,0.159,0.886,0.089,0.2,0.123,0.847
13,15.0,0.097,0.273,0.143,0.845,0.158,0.273,0.2,0.897,0.107,0.273,0.154,0.858
14,16.0,0.097,0.316,0.148,0.852,0.158,0.316,0.211,0.903,0.089,0.263,0.133,0.86
15,17.0,0.081,0.294,0.127,0.852,0.105,0.235,0.145,0.899,0.089,0.294,0.137,0.865
16,18.0,0.081,0.278,0.125,0.849,0.105,0.222,0.143,0.897,0.089,0.278,0.135,0.862
17,19.0,0.081,0.294,0.127,0.852,0.105,0.235,0.145,0.899,0.107,0.353,0.164,0.869
18,20.0,0.081,0.357,0.132,0.858,0.105,0.286,0.154,0.905,0.107,0.429,0.171,0.875
19,2.0,0.587,0.188,0.284,0.523,0.626,0.138,0.226,0.523,0.538,0.159,0.245,0.507
20,3.0,0.613,0.232,0.337,0.611,0.645,0.169,0.267,0.607,0.538,0.188,0.279,0.586
21,4.0,0.561,0.273,0.367,0.688,0.626,0.21,0.315,0.696,0.441,0.197,0.273,0.65
22,5.0,0.406,0.264,0.32,0.721,0.514,0.23,0.318,0.754,0.399,0.238,0.298,0.721
23,6.0,0.342,0.31,0.325,0.771,0.439,0.275,0.338,0.809,0.343,0.287,0.312,0.775
24,7.0,0.342,0.356,0.349,0.794,0.439,0.315,0.367,0.831,0.329,0.315,0.322,0.794
25,8.0,0.303,0.376,0.336,0.806,0.402,0.344,0.371,0.848,0.329,0.376,0.351,0.819
26,9.0,0.303,0.416,0.351,0.819,0.402,0.381,0.391,0.861,0.315,0.398,0.352,0.827
27,10.0,0.303,0.465,0.367,0.831,0.402,0.426,0.413,0.873,0.287,0.406,0.336,0.831
28,11.0,0.303,0.505,0.379,0.84,0.402,0.462,0.43,0.881,0.287,0.441,0.347,0.84
29,12.0,0.303,0.553,0.392,0.848,0.402,0.506,0.448,0.89,0.287,0.482,0.36,0.848
30,13.0,0.277,0.544,0.368,0.846,0.383,0.519,0.441,0.892,0.301,0.544,0.387,0.858
31,14.0,0.277,0.531,0.364,0.844,0.383,0.506,0.436,0.89,0.287,0.506,0.366,0.852
32,15.0,0.277,0.573,0.374,0.85,0.402,0.573,0.473,0.9,0.301,0.573,0.394,0.863
33,16.0,0.277,0.623,0.384,0.856,0.402,0.623,0.489,0.906,0.287,0.594,0.387,0.865
34,17.0,0.265,0.631,0.373,0.856,0.364,0.6,0.453,0.902,0.287,0.631,0.394,0.869
35,18.0,0.265,0.612,0.369,0.854,0.364,0.582,0.448,0.9,0.287,0.612,0.39,0.867
36,19.0,0.265,0.631,0.373,0.856,0.364,0.6,0.453,0.902,0.301,0.662,0.413,0.873
