,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.735,0.094,0.167,0.338,0.736,0.042,0.079,0.314,0.734,0.015,0.03,0.302
1,3.0,0.569,0.094,0.161,0.465,0.588,0.043,0.08,0.46,0.583,0.016,0.03,0.455
2,4.0,0.472,0.103,0.169,0.581,0.481,0.046,0.084,0.585,0.481,0.017,0.033,0.586
3,5.0,0.381,0.107,0.167,0.657,0.382,0.047,0.084,0.669,0.401,0.018,0.035,0.675
4,6.0,0.306,0.108,0.16,0.71,0.302,0.047,0.082,0.729,0.325,0.019,0.035,0.74
5,7.0,0.268,0.111,0.157,0.74,0.26,0.047,0.08,0.763,0.292,0.019,0.036,0.776
6,8.0,0.243,0.118,0.159,0.767,0.238,0.051,0.084,0.793,0.263,0.021,0.038,0.807
7,9.0,0.212,0.133,0.163,0.804,0.197,0.054,0.085,0.832,0.225,0.023,0.041,0.848
8,10.0,0.197,0.141,0.165,0.819,0.185,0.058,0.089,0.849,0.207,0.024,0.043,0.865
9,11.0,0.189,0.139,0.16,0.821,0.175,0.057,0.086,0.851,0.2,0.024,0.043,0.869
10,12.0,0.186,0.141,0.16,0.824,0.171,0.057,0.085,0.854,0.196,0.024,0.043,0.872
11,13.0,0.175,0.137,0.154,0.826,0.168,0.058,0.086,0.858,0.191,0.024,0.043,0.876
12,14.0,0.163,0.136,0.148,0.831,0.159,0.058,0.085,0.865,0.179,0.024,0.043,0.882
13,15.0,0.156,0.145,0.15,0.841,0.148,0.061,0.086,0.875,0.17,0.026,0.044,0.893
14,16.0,0.151,0.151,0.151,0.847,0.145,0.064,0.088,0.882,0.168,0.027,0.047,0.9
15,17.0,0.142,0.155,0.148,0.852,0.13,0.062,0.084,0.887,0.16,0.028,0.048,0.907
16,18.0,0.13,0.158,0.143,0.858,0.122,0.065,0.085,0.895,0.154,0.03,0.05,0.915
17,19.0,0.126,0.162,0.142,0.862,0.117,0.066,0.084,0.899,0.151,0.031,0.051,0.919
18,20.0,0.121,0.16,0.138,0.863,0.113,0.066,0.083,0.901,0.144,0.031,0.051,0.922
19,2.0,0.742,0.097,0.172,0.34,0.751,0.045,0.084,0.316,0.771,0.018,0.036,0.304
20,3.0,0.579,0.098,0.167,0.467,0.61,0.047,0.087,0.461,0.64,0.02,0.038,0.457
21,4.0,0.485,0.108,0.177,0.582,0.509,0.051,0.093,0.585,0.552,0.022,0.043,0.586
22,5.0,0.396,0.113,0.176,0.658,0.416,0.054,0.095,0.67,0.482,0.025,0.048,0.676
23,6.0,0.323,0.116,0.171,0.711,0.34,0.056,0.095,0.73,0.416,0.027,0.051,0.741
24,7.0,0.286,0.12,0.169,0.74,0.3,0.057,0.096,0.763,0.388,0.03,0.055,0.776
25,8.0,0.261,0.129,0.172,0.768,0.279,0.062,0.102,0.794,0.362,0.032,0.059,0.807
26,9.0,0.231,0.147,0.179,0.804,0.24,0.069,0.107,0.832,0.33,0.038,0.068,0.848
27,10.0,0.217,0.157,0.182,0.819,0.23,0.075,0.113,0.849,0.315,0.041,0.073,0.866
28,11.0,0.209,0.155,0.178,0.821,0.22,0.074,0.111,0.852,0.309,0.042,0.073,0.869
29,12.0,0.206,0.157,0.178,0.824,0.215,0.074,0.11,0.855,0.305,0.042,0.074,0.872
30,13.0,0.196,0.154,0.172,0.826,0.213,0.076,0.112,0.858,0.301,0.043,0.075,0.876
31,14.0,0.183,0.154,0.167,0.831,0.205,0.078,0.113,0.865,0.291,0.044,0.077,0.883
32,15.0,0.177,0.165,0.171,0.841,0.195,0.082,0.116,0.875,0.283,0.048,0.082,0.894
33,16.0,0.172,0.172,0.172,0.847,0.191,0.087,0.119,0.882,0.28,0.051,0.086,0.9
34,17.0,0.163,0.177,0.17,0.853,0.177,0.087,0.117,0.888,0.274,0.054,0.09,0.907
35,18.0,0.152,0.183,0.166,0.859,0.17,0.093,0.12,0.895,0.268,0.059,0.096,0.915
36,19.0,0.148,0.188,0.165,0.862,0.165,0.095,0.12,0.899,0.266,0.061,0.099,0.919
