,threshold,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,41.0,0.811,0.108,0.191,0.377,0.773,0.045,0.085,0.343,0.827,0.018,0.035,0.33
1,0.2,52.0,0.645,0.203,0.309,0.739,0.559,0.077,0.136,0.718,0.656,0.034,0.064,0.718
2,0.30000000000000004,65.0,0.597,0.393,0.474,0.88,0.503,0.145,0.225,0.863,0.542,0.058,0.104,0.864
3,0.4,74.0,0.547,0.482,0.513,0.906,0.467,0.181,0.261,0.895,0.454,0.065,0.114,0.896
4,0.5,82.0,0.474,0.496,0.485,0.909,0.366,0.168,0.23,0.903,0.415,0.07,0.121,0.911
5,0.6000000000000001,113.0,0.356,0.595,0.446,0.92,0.247,0.181,0.209,0.926,0.316,0.085,0.134,0.94
6,0.7000000000000001,177.0,0.157,0.644,0.252,0.916,0.109,0.196,0.14,0.947,0.167,0.111,0.134,0.968
7,0.8,231.0,0.055,0.643,0.101,0.912,0.056,0.286,0.093,0.957,0.08,0.151,0.104,0.98
8,0.9,307.0,0.024,0.707,0.047,0.911,0.032,0.414,0.06,0.96,0.039,0.184,0.064,0.983
9,0.9,307.0,0.024,0.707,0.047,0.911,0.032,0.414,0.06,0.96,0.039,0.184,0.064,0.983
10,0.91,314.0,0.023,0.727,0.044,0.911,0.031,0.442,0.059,0.96,0.038,0.198,0.064,0.984
11,0.92,322.0,0.019,0.723,0.037,0.911,0.026,0.446,0.05,0.96,0.035,0.216,0.06,0.984
12,0.93,331.0,0.016,0.704,0.032,0.91,0.024,0.451,0.045,0.96,0.032,0.223,0.056,0.984
13,0.9400000000000001,340.0,0.015,0.683,0.028,0.91,0.022,0.444,0.041,0.96,0.028,0.217,0.05,0.984
14,0.9500000000000001,351.0,0.011,0.667,0.022,0.91,0.018,0.48,0.036,0.96,0.024,0.233,0.044,0.985
15,0.96,361.0,0.01,0.672,0.02,0.91,0.016,0.489,0.032,0.96,0.021,0.237,0.039,0.985
16,0.97,373.0,0.008,0.64,0.016,0.91,0.014,0.495,0.027,0.96,0.018,0.234,0.033,0.985
17,0.98,387.0,0.006,0.622,0.011,0.91,0.011,0.512,0.021,0.96,0.016,0.28,0.03,0.985
18,0.99,408.0,0.003,0.509,0.006,0.91,0.005,0.382,0.011,0.96,0.01,0.255,0.019,0.985
