,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.747,0.095,0.168,0.331,0.74,0.041,0.078,0.306,0.741,0.015,0.03,0.294
1,3.0,0.575,0.094,0.162,0.462,0.58,0.042,0.078,0.455,0.594,0.016,0.031,0.451
2,4.0,0.472,0.102,0.168,0.577,0.474,0.045,0.082,0.58,0.478,0.017,0.032,0.582
3,5.0,0.361,0.103,0.16,0.657,0.348,0.043,0.077,0.67,0.373,0.017,0.033,0.678
4,6.0,0.288,0.109,0.158,0.723,0.281,0.047,0.08,0.744,0.306,0.019,0.035,0.756
5,7.0,0.249,0.109,0.152,0.748,0.244,0.047,0.079,0.773,0.276,0.019,0.036,0.787
6,8.0,0.21,0.125,0.157,0.796,0.207,0.054,0.086,0.825,0.233,0.022,0.041,0.841
7,9.0,0.191,0.122,0.149,0.803,0.184,0.052,0.081,0.833,0.203,0.021,0.038,0.85
8,10.0,0.177,0.13,0.15,0.818,0.173,0.056,0.085,0.851,0.186,0.022,0.039,0.868
9,11.0,0.17,0.134,0.15,0.825,0.164,0.057,0.084,0.858,0.185,0.023,0.042,0.876
10,12.0,0.164,0.132,0.146,0.827,0.159,0.056,0.083,0.86,0.178,0.023,0.041,0.878
11,13.0,0.15,0.132,0.141,0.834,0.149,0.057,0.083,0.869,0.168,0.024,0.042,0.887
12,14.0,0.15,0.14,0.145,0.84,0.152,0.063,0.089,0.876,0.168,0.025,0.044,0.894
13,15.0,0.145,0.138,0.142,0.841,0.134,0.056,0.079,0.876,0.152,0.023,0.04,0.895
14,16.0,0.129,0.137,0.133,0.848,0.122,0.057,0.078,0.885,0.146,0.025,0.043,0.905
15,17.0,0.142,0.142,0.142,0.845,0.143,0.063,0.087,0.881,0.159,0.026,0.044,0.9
16,18.0,0.128,0.149,0.137,0.855,0.125,0.064,0.085,0.893,0.141,0.027,0.045,0.912
17,19.0,0.118,0.14,0.128,0.855,0.111,0.058,0.076,0.893,0.128,0.024,0.041,0.913
18,20.0,0.117,0.146,0.13,0.858,0.114,0.063,0.081,0.897,0.134,0.027,0.045,0.917
19,2.0,0.754,0.098,0.173,0.333,0.755,0.044,0.084,0.307,0.777,0.018,0.036,0.295
20,3.0,0.586,0.098,0.168,0.463,0.603,0.046,0.085,0.456,0.649,0.02,0.038,0.452
21,4.0,0.485,0.107,0.175,0.578,0.502,0.05,0.091,0.581,0.549,0.022,0.042,0.583
22,5.0,0.377,0.109,0.169,0.657,0.383,0.05,0.089,0.67,0.458,0.024,0.046,0.679
23,6.0,0.305,0.118,0.17,0.724,0.32,0.056,0.095,0.745,0.4,0.028,0.052,0.757
24,7.0,0.268,0.119,0.165,0.749,0.285,0.057,0.095,0.774,0.374,0.03,0.056,0.788
25,8.0,0.229,0.138,0.172,0.797,0.25,0.068,0.107,0.826,0.336,0.037,0.066,0.841
26,9.0,0.211,0.136,0.165,0.803,0.228,0.067,0.103,0.834,0.311,0.036,0.065,0.85
27,10.0,0.197,0.146,0.167,0.819,0.218,0.073,0.109,0.851,0.296,0.04,0.07,0.868
28,11.0,0.191,0.151,0.168,0.826,0.209,0.075,0.11,0.859,0.295,0.042,0.074,0.876
29,12.0,0.185,0.149,0.165,0.827,0.205,0.075,0.11,0.861,0.289,0.042,0.074,0.878
30,13.0,0.171,0.151,0.16,0.834,0.195,0.078,0.111,0.869,0.28,0.045,0.077,0.888
31,14.0,0.171,0.16,0.165,0.84,0.198,0.084,0.118,0.876,0.281,0.048,0.082,0.894
32,15.0,0.166,0.158,0.162,0.841,0.181,0.078,0.109,0.876,0.267,0.046,0.079,0.895
33,16.0,0.15,0.16,0.155,0.848,0.169,0.082,0.11,0.885,0.261,0.05,0.085,0.905
34,17.0,0.163,0.163,0.163,0.845,0.19,0.086,0.118,0.881,0.273,0.049,0.084,0.9
35,18.0,0.149,0.173,0.16,0.856,0.173,0.091,0.119,0.893,0.257,0.054,0.09,0.912
36,19.0,0.139,0.165,0.151,0.855,0.159,0.085,0.111,0.893,0.246,0.053,0.087,0.913
