,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.811,0.108,0.191,0.377,0.773,0.045,0.085,0.343,0.827,0.018,0.035,0.33
1,0.2,0.645,0.203,0.309,0.739,0.559,0.077,0.136,0.718,0.656,0.034,0.064,0.718
2,0.30000000000000004,0.597,0.393,0.474,0.88,0.503,0.145,0.225,0.863,0.542,0.058,0.104,0.864
3,0.4,0.547,0.482,0.513,0.906,0.467,0.181,0.261,0.895,0.454,0.065,0.114,0.896
4,0.5,0.474,0.496,0.485,0.909,0.366,0.168,0.23,0.903,0.415,0.07,0.121,0.911
5,0.6000000000000001,0.356,0.595,0.446,0.92,0.247,0.181,0.209,0.926,0.316,0.085,0.134,0.94
6,0.7000000000000001,0.157,0.644,0.252,0.916,0.109,0.196,0.14,0.947,0.167,0.111,0.134,0.968
7,0.8,0.055,0.643,0.101,0.912,0.056,0.286,0.093,0.957,0.08,0.151,0.104,0.98
8,0.9,0.024,0.707,0.047,0.911,0.032,0.414,0.06,0.96,0.039,0.184,0.064,0.983
9,1.0,0.018,0.086,0.029,0.894,0.02,0.044,0.028,0.943,0.025,0.02,0.022,0.967
