,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.527,0.16,0.246,0.707,0.308,0.041,0.073,0.687,0.441,0.022,0.041,0.701
1,3.0,0.801,0.115,0.201,0.424,0.732,0.046,0.087,0.388,0.777,0.018,0.035,0.378
2,4.0,0.759,0.116,0.201,0.452,0.691,0.046,0.087,0.421,0.72,0.018,0.034,0.412
3,5.0,0.731,0.115,0.199,0.466,0.686,0.047,0.089,0.439,0.705,0.018,0.035,0.43
4,6.0,0.959,0.092,0.167,0.138,0.954,0.04,0.077,0.091,0.959,0.015,0.029,0.068
5,7.0,0.856,0.11,0.195,0.363,0.793,0.045,0.085,0.321,0.833,0.017,0.034,0.308
6,8.0,0.905,0.106,0.189,0.3,0.845,0.043,0.083,0.254,0.888,0.017,0.033,0.238
7,9.0,0.652,0.119,0.202,0.534,0.622,0.05,0.093,0.516,0.606,0.018,0.035,0.509
8,10.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
9,11.0,0.745,0.116,0.2,0.462,0.688,0.047,0.088,0.432,0.708,0.018,0.035,0.424
10,12.0,0.789,0.115,0.2,0.43,0.72,0.046,0.086,0.395,0.753,0.018,0.034,0.385
11,13.0,0.763,0.116,0.201,0.451,0.694,0.046,0.087,0.419,0.723,0.018,0.034,0.41
12,14.0,0.782,0.115,0.2,0.434,0.71,0.046,0.086,0.4,0.744,0.018,0.034,0.39
13,15.0,0.961,0.092,0.167,0.136,0.953,0.04,0.077,0.088,0.962,0.015,0.029,0.066
14,16.0,0.68,0.116,0.199,0.505,0.652,0.049,0.091,0.484,0.646,0.018,0.035,0.476
15,17.0,0.757,0.116,0.201,0.454,0.693,0.046,0.087,0.423,0.719,0.018,0.034,0.414
16,18.0,0.949,0.093,0.169,0.158,0.927,0.04,0.076,0.11,0.948,0.015,0.029,0.09
17,19.0,0.773,0.115,0.2,0.442,0.709,0.046,0.087,0.409,0.733,0.018,0.034,0.399
18,20.0,1.0,0.091,0.167,0.095,1.0,0.04,0.077,0.044,0.999,0.015,0.029,0.019
19,2.0,0.762,0.119,0.206,0.456,0.709,0.05,0.094,0.425,0.76,0.022,0.042,0.417
20,3.0,0.799,0.117,0.204,0.424,0.743,0.049,0.093,0.389,0.797,0.021,0.041,0.379
21,4.0,0.771,0.119,0.206,0.45,0.72,0.05,0.094,0.418,0.765,0.021,0.042,0.409
22,5.0,0.881,0.11,0.196,0.332,0.816,0.046,0.088,0.289,0.878,0.02,0.039,0.275
23,6.0,0.954,0.095,0.172,0.15,0.949,0.043,0.081,0.104,0.958,0.017,0.034,0.082
24,7.0,0.837,0.113,0.199,0.378,0.769,0.047,0.089,0.338,0.835,0.02,0.04,0.327
25,8.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
26,9.0,0.764,0.119,0.206,0.456,0.711,0.05,0.094,0.425,0.761,0.022,0.042,0.416
27,10.0,0.76,0.12,0.207,0.46,0.707,0.05,0.094,0.429,0.757,0.022,0.042,0.42
28,11.0,0.644,0.126,0.211,0.555,0.627,0.056,0.102,0.539,0.659,0.023,0.045,0.534
29,12.0,0.789,0.119,0.206,0.439,0.735,0.05,0.094,0.406,0.785,0.021,0.042,0.396
30,13.0,0.779,0.119,0.206,0.444,0.726,0.05,0.094,0.411,0.771,0.021,0.041,0.402
31,14.0,0.79,0.117,0.203,0.428,0.731,0.049,0.092,0.394,0.784,0.021,0.041,0.384
32,15.0,0.982,0.092,0.169,0.107,0.973,0.041,0.08,0.057,0.991,0.017,0.033,0.034
33,16.0,1.0,0.093,0.17,0.097,1.0,0.042,0.081,0.046,1.0,0.017,0.033,0.021
34,17.0,0.778,0.119,0.206,0.445,0.726,0.05,0.094,0.412,0.771,0.021,0.042,0.403
35,18.0,0.881,0.11,0.196,0.333,0.816,0.046,0.088,0.289,0.873,0.02,0.039,0.275
36,19.0,0.78,0.119,0.206,0.444,0.726,0.05,0.094,0.411,0.772,0.021,0.042,0.402
