,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.74,0.094,0.167,0.333,0.739,0.041,0.078,0.309,0.738,0.015,0.03,0.297
1,3.0,0.616,0.102,0.175,0.475,0.613,0.045,0.083,0.463,0.601,0.016,0.031,0.456
2,4.0,0.47,0.102,0.167,0.577,0.479,0.046,0.083,0.58,0.482,0.017,0.032,0.582
3,5.0,0.415,0.107,0.17,0.633,0.427,0.048,0.087,0.643,0.432,0.018,0.034,0.647
4,6.0,0.311,0.116,0.169,0.724,0.312,0.051,0.088,0.743,0.329,0.02,0.037,0.753
5,7.0,0.28,0.123,0.171,0.754,0.283,0.055,0.092,0.777,0.288,0.02,0.038,0.788
6,8.0,0.268,0.122,0.167,0.759,0.275,0.055,0.092,0.783,0.276,0.02,0.038,0.795
7,9.0,0.236,0.121,0.16,0.776,0.239,0.054,0.088,0.803,0.258,0.021,0.039,0.817
8,10.0,0.214,0.125,0.158,0.794,0.221,0.057,0.091,0.824,0.235,0.022,0.041,0.838
9,11.0,0.178,0.136,0.154,0.823,0.176,0.059,0.088,0.855,0.205,0.025,0.045,0.873
10,12.0,0.174,0.135,0.152,0.825,0.173,0.059,0.088,0.858,0.203,0.025,0.045,0.875
11,13.0,0.167,0.139,0.152,0.831,0.166,0.061,0.089,0.865,0.191,0.026,0.045,0.883
12,14.0,0.164,0.141,0.152,0.834,0.161,0.061,0.089,0.868,0.186,0.026,0.045,0.886
13,15.0,0.159,0.141,0.149,0.836,0.158,0.061,0.088,0.871,0.176,0.025,0.044,0.888
14,16.0,0.152,0.146,0.149,0.843,0.151,0.063,0.089,0.878,0.172,0.026,0.046,0.896
15,17.0,0.142,0.145,0.143,0.847,0.141,0.064,0.088,0.883,0.161,0.027,0.046,0.902
16,18.0,0.141,0.145,0.143,0.847,0.141,0.064,0.088,0.883,0.163,0.027,0.046,0.902
17,19.0,0.136,0.153,0.144,0.854,0.136,0.067,0.09,0.89,0.159,0.029,0.049,0.909
18,20.0,0.136,0.154,0.145,0.854,0.136,0.068,0.09,0.891,0.156,0.028,0.048,0.91
19,2.0,0.746,0.097,0.172,0.335,0.753,0.044,0.084,0.31,0.774,0.018,0.036,0.298
20,3.0,0.626,0.106,0.181,0.476,0.635,0.049,0.09,0.464,0.656,0.02,0.039,0.458
21,4.0,0.483,0.107,0.175,0.578,0.508,0.051,0.092,0.581,0.552,0.022,0.043,0.583
22,5.0,0.43,0.113,0.178,0.634,0.458,0.054,0.097,0.643,0.509,0.024,0.046,0.647
23,6.0,0.328,0.124,0.18,0.725,0.349,0.06,0.102,0.744,0.42,0.029,0.054,0.754
24,7.0,0.297,0.132,0.183,0.755,0.322,0.065,0.108,0.777,0.384,0.031,0.057,0.788
25,8.0,0.286,0.132,0.18,0.76,0.314,0.066,0.108,0.784,0.374,0.031,0.058,0.795
26,9.0,0.255,0.132,0.174,0.777,0.281,0.066,0.107,0.803,0.359,0.034,0.062,0.817
27,10.0,0.233,0.138,0.173,0.795,0.264,0.071,0.112,0.824,0.339,0.036,0.066,0.839
28,11.0,0.198,0.152,0.172,0.823,0.22,0.076,0.113,0.856,0.312,0.043,0.076,0.873
29,12.0,0.194,0.152,0.17,0.825,0.218,0.077,0.114,0.858,0.311,0.044,0.077,0.875
30,13.0,0.188,0.157,0.171,0.832,0.212,0.08,0.116,0.865,0.301,0.046,0.079,0.883
31,14.0,0.184,0.159,0.171,0.835,0.207,0.081,0.116,0.868,0.297,0.047,0.08,0.886
32,15.0,0.18,0.159,0.169,0.837,0.203,0.082,0.117,0.871,0.287,0.046,0.08,0.889
33,16.0,0.173,0.166,0.169,0.843,0.197,0.085,0.119,0.878,0.284,0.049,0.084,0.896
34,17.0,0.163,0.166,0.164,0.847,0.188,0.087,0.119,0.883,0.275,0.051,0.086,0.902
35,18.0,0.162,0.166,0.164,0.847,0.188,0.087,0.119,0.884,0.276,0.051,0.087,0.902
36,19.0,0.158,0.176,0.166,0.854,0.183,0.092,0.123,0.891,0.273,0.055,0.092,0.91
