,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.452,0.124,0.195,0.503,0.526,0.089,0.152,0.52,0.429,0.107,0.171,0.499
1,3.0,0.452,0.151,0.226,0.587,0.526,0.108,0.179,0.604,0.411,0.124,0.19,0.578
2,4.0,0.339,0.162,0.219,0.677,0.447,0.131,0.202,0.712,0.357,0.154,0.215,0.686
3,5.0,0.29,0.18,0.222,0.729,0.368,0.14,0.203,0.763,0.339,0.19,0.244,0.746
4,6.0,0.21,0.165,0.184,0.753,0.289,0.139,0.188,0.796,0.196,0.139,0.163,0.757
5,7.0,0.177,0.164,0.171,0.77,0.263,0.149,0.19,0.817,0.179,0.149,0.163,0.778
6,8.0,0.177,0.193,0.185,0.791,0.263,0.175,0.211,0.839,0.143,0.14,0.142,0.791
7,9.0,0.113,0.156,0.131,0.8,0.184,0.156,0.169,0.852,0.143,0.178,0.158,0.817
8,10.0,0.113,0.171,0.136,0.809,0.184,0.171,0.177,0.86,0.143,0.195,0.165,0.826
9,11.0,0.113,0.179,0.139,0.813,0.184,0.179,0.182,0.865,0.125,0.179,0.147,0.826
10,12.0,0.113,0.206,0.146,0.824,0.184,0.206,0.194,0.875,0.107,0.176,0.133,0.832
11,13.0,0.113,0.219,0.149,0.828,0.184,0.219,0.2,0.88,0.089,0.156,0.114,0.832
12,14.0,0.097,0.231,0.136,0.837,0.158,0.231,0.187,0.888,0.089,0.192,0.122,0.845
13,15.0,0.097,0.24,0.138,0.839,0.158,0.24,0.19,0.89,0.089,0.2,0.123,0.847
14,16.0,0.097,0.316,0.148,0.852,0.158,0.316,0.211,0.903,0.071,0.211,0.107,0.856
15,17.0,0.081,0.294,0.127,0.852,0.132,0.294,0.182,0.903,0.071,0.235,0.11,0.86
16,18.0,0.081,0.312,0.128,0.854,0.132,0.312,0.185,0.905,0.071,0.25,0.111,0.862
17,19.0,0.081,0.333,0.13,0.856,0.132,0.333,0.189,0.908,0.071,0.267,0.113,0.865
18,20.0,0.081,0.385,0.133,0.86,0.132,0.385,0.196,0.912,0.071,0.308,0.116,0.869
19,2.0,0.561,0.181,0.274,0.519,0.664,0.148,0.241,0.536,0.552,0.164,0.253,0.515
20,3.0,0.561,0.216,0.312,0.6,0.664,0.176,0.278,0.617,0.538,0.191,0.282,0.592
21,4.0,0.471,0.251,0.327,0.688,0.607,0.223,0.327,0.721,0.497,0.244,0.327,0.696
22,5.0,0.432,0.29,0.347,0.738,0.551,0.255,0.349,0.771,0.483,0.299,0.369,0.754
23,6.0,0.368,0.302,0.331,0.761,0.495,0.28,0.358,0.802,0.371,0.28,0.319,0.765
24,7.0,0.342,0.321,0.331,0.777,0.477,0.309,0.375,0.823,0.357,0.309,0.331,0.786
25,8.0,0.342,0.366,0.353,0.798,0.477,0.352,0.405,0.844,0.329,0.324,0.326,0.798
26,9.0,0.29,0.372,0.326,0.806,0.421,0.372,0.395,0.856,0.329,0.388,0.356,0.823
27,10.0,0.29,0.398,0.336,0.815,0.421,0.398,0.409,0.865,0.329,0.416,0.367,0.831
28,11.0,0.29,0.413,0.341,0.819,0.421,0.413,0.417,0.869,0.315,0.413,0.357,0.831
29,12.0,0.29,0.455,0.354,0.829,0.421,0.455,0.437,0.879,0.301,0.434,0.355,0.838
30,13.0,0.29,0.474,0.36,0.834,0.421,0.474,0.446,0.883,0.287,0.432,0.345,0.838
31,14.0,0.277,0.518,0.361,0.842,0.402,0.518,0.453,0.892,0.287,0.494,0.363,0.85
32,15.0,0.277,0.531,0.364,0.844,0.402,0.531,0.457,0.894,0.287,0.506,0.366,0.852
33,16.0,0.277,0.623,0.384,0.856,0.402,0.623,0.489,0.906,0.273,0.565,0.368,0.861
34,17.0,0.265,0.631,0.373,0.856,0.383,0.631,0.477,0.906,0.273,0.6,0.375,0.865
35,18.0,0.265,0.651,0.376,0.858,0.383,0.651,0.482,0.908,0.273,0.619,0.379,0.867
36,19.0,0.265,0.672,0.38,0.861,0.383,0.672,0.488,0.911,0.273,0.639,0.382,0.869
