,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.452,0.124,0.195,0.503,0.526,0.089,0.152,0.52,0.429,0.107,0.171,0.499
1,3.0,0.452,0.151,0.226,0.587,0.447,0.091,0.152,0.591,0.429,0.129,0.198,0.583
2,4.0,0.339,0.162,0.219,0.677,0.447,0.131,0.202,0.712,0.357,0.154,0.215,0.686
3,5.0,0.242,0.167,0.197,0.738,0.316,0.133,0.188,0.776,0.232,0.144,0.178,0.742
4,6.0,0.194,0.164,0.178,0.761,0.237,0.123,0.162,0.8,0.179,0.137,0.155,0.766
5,7.0,0.177,0.164,0.171,0.77,0.263,0.149,0.19,0.817,0.179,0.149,0.163,0.778
6,8.0,0.129,0.154,0.14,0.789,0.184,0.135,0.156,0.837,0.179,0.192,0.185,0.811
7,9.0,0.129,0.167,0.145,0.798,0.184,0.146,0.163,0.845,0.179,0.208,0.192,0.819
8,10.0,0.113,0.171,0.136,0.809,0.184,0.171,0.177,0.86,0.143,0.195,0.165,0.826
9,11.0,0.113,0.179,0.139,0.813,0.184,0.179,0.182,0.865,0.125,0.179,0.147,0.826
10,12.0,0.097,0.194,0.129,0.826,0.158,0.194,0.174,0.877,0.107,0.194,0.138,0.839
11,13.0,0.113,0.219,0.149,0.828,0.184,0.219,0.2,0.88,0.089,0.156,0.114,0.832
12,14.0,0.097,0.231,0.136,0.837,0.158,0.231,0.187,0.888,0.089,0.192,0.122,0.845
13,15.0,0.081,0.25,0.122,0.845,0.132,0.25,0.172,0.897,0.089,0.25,0.132,0.858
14,16.0,0.081,0.263,0.123,0.847,0.132,0.263,0.175,0.899,0.089,0.263,0.133,0.86
15,17.0,0.081,0.278,0.125,0.849,0.132,0.278,0.179,0.901,0.089,0.278,0.135,0.862
16,18.0,0.081,0.294,0.127,0.852,0.132,0.294,0.182,0.903,0.089,0.294,0.137,0.865
17,19.0,0.081,0.333,0.13,0.856,0.132,0.333,0.189,0.908,0.071,0.267,0.113,0.865
18,20.0,0.081,0.385,0.133,0.86,0.132,0.385,0.196,0.912,0.071,0.308,0.116,0.869
19,2.0,0.561,0.181,0.274,0.519,0.664,0.148,0.241,0.536,0.552,0.164,0.253,0.515
20,3.0,0.561,0.216,0.312,0.6,0.607,0.161,0.255,0.605,0.552,0.196,0.289,0.596
21,4.0,0.471,0.251,0.327,0.688,0.607,0.223,0.327,0.721,0.497,0.244,0.327,0.696
22,5.0,0.394,0.289,0.333,0.746,0.514,0.261,0.346,0.784,0.399,0.27,0.322,0.75
23,6.0,0.355,0.311,0.331,0.769,0.458,0.277,0.345,0.806,0.357,0.288,0.319,0.773
24,7.0,0.342,0.321,0.331,0.777,0.477,0.309,0.375,0.823,0.357,0.309,0.331,0.786
25,8.0,0.303,0.348,0.324,0.796,0.421,0.333,0.372,0.842,0.357,0.378,0.367,0.817
26,9.0,0.303,0.37,0.333,0.804,0.421,0.354,0.385,0.85,0.357,0.402,0.378,0.825
27,10.0,0.29,0.398,0.336,0.815,0.421,0.398,0.409,0.865,0.329,0.416,0.367,0.831
28,11.0,0.29,0.413,0.341,0.819,0.421,0.413,0.417,0.869,0.315,0.413,0.357,0.831
29,12.0,0.277,0.462,0.347,0.831,0.402,0.462,0.43,0.881,0.301,0.462,0.364,0.844
30,13.0,0.29,0.474,0.36,0.834,0.421,0.474,0.446,0.883,0.287,0.432,0.345,0.838
31,14.0,0.277,0.518,0.361,0.842,0.402,0.518,0.453,0.892,0.287,0.494,0.363,0.85
32,15.0,0.265,0.577,0.363,0.85,0.383,0.577,0.461,0.9,0.287,0.577,0.383,0.863
33,16.0,0.265,0.594,0.366,0.852,0.383,0.594,0.466,0.902,0.287,0.594,0.387,0.865
34,17.0,0.265,0.612,0.369,0.854,0.383,0.612,0.471,0.904,0.287,0.612,0.39,0.867
35,18.0,0.265,0.631,0.373,0.856,0.383,0.631,0.477,0.906,0.287,0.631,0.394,0.869
36,19.0,0.265,0.672,0.38,0.861,0.383,0.672,0.488,0.911,0.273,0.639,0.382,0.869
