,threshold,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,0.79,0.164,0.271,0.434,0.895,0.114,0.202,0.422,0.75,0.14,0.237,0.417
1,0.2,0.548,0.148,0.234,0.52,0.605,0.1,0.172,0.525,0.536,0.131,0.211,0.516
2,0.30000000000000004,0.29,0.178,0.221,0.727,0.316,0.119,0.173,0.753,0.161,0.089,0.115,0.701
3,0.4,0.21,0.217,0.213,0.794,0.289,0.183,0.224,0.837,0.161,0.15,0.155,0.789
4,0.5,0.161,0.217,0.185,0.811,0.237,0.196,0.214,0.858,0.125,0.152,0.137,0.811
5,0.6000000000000001,0.113,0.184,0.14,0.815,0.184,0.184,0.184,0.867,0.125,0.184,0.149,0.828
6,0.7000000000000001,0.097,0.333,0.15,0.854,0.132,0.278,0.179,0.901,0.054,0.167,0.081,0.854
7,0.8,0.065,0.571,0.116,0.869,0.105,0.571,0.178,0.92,0.054,0.429,0.095,0.877
8,0.9,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
9,0.91,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
10,0.911,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
11,0.912,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
12,0.913,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
13,0.914,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
14,0.915,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
15,0.916,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
16,0.917,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
17,0.918,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
18,0.919,0.032,0.4,0.06,0.865,0.053,0.4,0.093,0.916,0.018,0.2,0.033,0.873
