,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.452,0.123,0.194,0.499,0.447,0.075,0.128,0.503,0.482,0.119,0.191,0.508
1,3.0,0.452,0.106,0.171,0.417,0.474,0.068,0.119,0.426,0.536,0.113,0.187,0.439
2,4.0,0.403,0.116,0.181,0.512,0.474,0.084,0.142,0.533,0.518,0.135,0.214,0.542
3,5.0,0.403,0.12,0.185,0.527,0.474,0.087,0.146,0.548,0.482,0.13,0.205,0.548
4,6.0,0.403,0.12,0.185,0.527,0.474,0.087,0.146,0.548,0.482,0.13,0.205,0.548
5,7.0,0.403,0.12,0.185,0.527,0.474,0.087,0.146,0.548,0.482,0.13,0.205,0.548
6,8.0,0.403,0.12,0.185,0.527,0.474,0.087,0.146,0.548,0.482,0.13,0.205,0.548
7,9.0,0.5,0.151,0.232,0.559,0.474,0.088,0.148,0.555,0.5,0.137,0.215,0.559
8,10.0,0.516,0.125,0.201,0.454,0.526,0.078,0.136,0.454,0.536,0.117,0.192,0.458
9,11.0,0.452,0.123,0.193,0.497,0.526,0.088,0.15,0.514,0.536,0.132,0.211,0.518
10,12.0,0.435,0.115,0.182,0.48,0.5,0.081,0.14,0.497,0.518,0.124,0.2,0.501
11,13.0,0.435,0.119,0.188,0.497,0.5,0.084,0.144,0.514,0.536,0.133,0.213,0.523
12,14.0,0.403,0.116,0.181,0.512,0.447,0.079,0.134,0.529,0.482,0.126,0.199,0.533
13,15.0,0.435,0.115,0.182,0.477,0.5,0.081,0.139,0.495,0.518,0.123,0.199,0.499
14,16.0,0.565,0.162,0.252,0.553,0.5,0.088,0.15,0.535,0.5,0.13,0.206,0.535
15,17.0,0.435,0.123,0.191,0.51,0.5,0.086,0.147,0.527,0.518,0.132,0.21,0.531
16,18.0,0.419,0.123,0.19,0.523,0.5,0.09,0.152,0.544,0.518,0.137,0.216,0.548
17,19.0,0.516,0.126,0.203,0.46,0.526,0.079,0.137,0.46,0.518,0.115,0.188,0.46
18,20.0,0.565,0.163,0.253,0.555,0.5,0.088,0.15,0.538,0.5,0.13,0.207,0.538
19,2.0,0.561,0.179,0.272,0.515,0.607,0.134,0.22,0.519,0.594,0.175,0.271,0.523
20,3.0,0.561,0.167,0.257,0.478,0.626,0.129,0.213,0.486,0.636,0.175,0.274,0.498
21,4.0,0.6,0.209,0.31,0.569,0.701,0.169,0.272,0.582,0.692,0.222,0.337,0.594
22,5.0,0.523,0.181,0.269,0.542,0.626,0.15,0.242,0.563,0.594,0.19,0.288,0.563
23,6.0,0.523,0.181,0.269,0.542,0.626,0.15,0.242,0.563,0.594,0.19,0.288,0.563
24,7.0,0.523,0.181,0.269,0.542,0.626,0.15,0.242,0.563,0.594,0.19,0.288,0.563
25,8.0,0.523,0.181,0.269,0.542,0.626,0.15,0.242,0.563,0.594,0.19,0.288,0.563
26,9.0,0.703,0.217,0.331,0.542,0.72,0.153,0.252,0.525,0.65,0.185,0.288,0.521
27,10.0,0.548,0.214,0.308,0.602,0.626,0.169,0.266,0.615,0.608,0.219,0.322,0.619
28,11.0,0.51,0.181,0.267,0.548,0.626,0.153,0.246,0.573,0.58,0.19,0.286,0.569
29,12.0,0.535,0.18,0.269,0.532,0.645,0.15,0.243,0.553,0.622,0.193,0.295,0.557
30,13.0,0.523,0.171,0.258,0.515,0.607,0.137,0.224,0.532,0.594,0.18,0.276,0.536
31,14.0,0.652,0.174,0.274,0.444,0.72,0.133,0.224,0.444,0.678,0.167,0.268,0.448
32,15.0,0.548,0.18,0.272,0.525,0.645,0.146,0.239,0.542,0.636,0.193,0.296,0.55
33,16.0,0.587,0.221,0.322,0.6,0.626,0.163,0.259,0.6,0.594,0.207,0.307,0.6
34,17.0,0.665,0.175,0.278,0.442,0.682,0.124,0.21,0.43,0.636,0.155,0.249,0.43
35,18.0,0.548,0.171,0.261,0.498,0.645,0.139,0.228,0.515,0.594,0.171,0.266,0.511
36,19.0,0.613,0.177,0.275,0.478,0.664,0.132,0.22,0.478,0.622,0.166,0.262,0.478
