,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.903,0.147,0.253,0.288,0.842,0.084,0.153,0.237,0.75,0.11,0.192,0.241
1,3.0,0.5,0.164,0.247,0.594,0.5,0.101,0.167,0.594,0.429,0.127,0.196,0.576
2,4.0,0.371,0.153,0.217,0.643,0.342,0.087,0.138,0.652,0.286,0.107,0.155,0.626
3,5.0,0.258,0.167,0.203,0.729,0.316,0.125,0.179,0.763,0.286,0.167,0.211,0.742
4,6.0,0.161,0.132,0.145,0.746,0.211,0.105,0.14,0.789,0.232,0.171,0.197,0.772
5,7.0,0.145,0.155,0.15,0.781,0.184,0.121,0.146,0.824,0.214,0.207,0.211,0.806
6,8.0,0.129,0.154,0.14,0.789,0.184,0.135,0.156,0.837,0.179,0.192,0.185,0.811
7,9.0,0.129,0.167,0.145,0.798,0.184,0.146,0.163,0.845,0.179,0.208,0.192,0.819
8,10.0,0.129,0.211,0.16,0.819,0.211,0.211,0.211,0.871,0.143,0.211,0.17,0.832
9,11.0,0.113,0.226,0.151,0.83,0.184,0.226,0.203,0.882,0.125,0.226,0.161,0.843
10,12.0,0.113,0.269,0.159,0.841,0.184,0.269,0.219,0.892,0.125,0.269,0.171,0.854
11,13.0,0.113,0.269,0.159,0.841,0.184,0.269,0.219,0.892,0.107,0.231,0.146,0.849
12,14.0,0.113,0.333,0.169,0.852,0.184,0.333,0.237,0.903,0.089,0.238,0.13,0.856
13,15.0,0.113,0.35,0.171,0.854,0.184,0.35,0.241,0.905,0.089,0.25,0.132,0.858
14,16.0,0.113,0.389,0.175,0.858,0.184,0.389,0.25,0.91,0.071,0.222,0.108,0.858
15,17.0,0.097,0.375,0.154,0.858,0.158,0.375,0.222,0.91,0.071,0.25,0.111,0.862
16,18.0,0.097,0.4,0.156,0.86,0.158,0.4,0.226,0.912,0.071,0.267,0.113,0.865
17,19.0,0.065,0.286,0.105,0.854,0.105,0.286,0.154,0.905,0.089,0.357,0.143,0.871
18,20.0,0.065,0.308,0.107,0.856,0.105,0.308,0.157,0.908,0.071,0.308,0.116,0.869
19,2.0,0.923,0.18,0.302,0.311,0.888,0.12,0.211,0.261,0.804,0.145,0.246,0.265
20,3.0,0.6,0.227,0.33,0.607,0.645,0.169,0.267,0.607,0.552,0.193,0.286,0.59
21,4.0,0.497,0.233,0.317,0.655,0.533,0.172,0.26,0.663,0.441,0.19,0.266,0.638
22,5.0,0.406,0.283,0.333,0.738,0.514,0.247,0.333,0.771,0.441,0.283,0.344,0.75
23,6.0,0.329,0.279,0.302,0.754,0.439,0.257,0.324,0.796,0.399,0.311,0.35,0.779
24,7.0,0.316,0.333,0.325,0.788,0.421,0.306,0.354,0.829,0.385,0.374,0.379,0.813
25,8.0,0.303,0.348,0.324,0.796,0.421,0.333,0.372,0.842,0.357,0.378,0.367,0.817
26,9.0,0.303,0.37,0.333,0.804,0.421,0.354,0.385,0.85,0.357,0.402,0.378,0.825
27,10.0,0.303,0.439,0.359,0.825,0.439,0.439,0.439,0.875,0.329,0.439,0.376,0.838
28,11.0,0.29,0.484,0.363,0.836,0.421,0.484,0.45,0.886,0.315,0.484,0.381,0.848
29,12.0,0.29,0.542,0.378,0.846,0.421,0.542,0.474,0.896,0.315,0.542,0.398,0.858
30,13.0,0.29,0.542,0.378,0.846,0.421,0.542,0.474,0.896,0.301,0.518,0.381,0.854
31,14.0,0.29,0.616,0.395,0.856,0.421,0.616,0.5,0.906,0.287,0.562,0.38,0.861
32,15.0,0.29,0.634,0.398,0.858,0.421,0.634,0.506,0.908,0.287,0.577,0.383,0.863
33,16.0,0.29,0.672,0.405,0.863,0.421,0.672,0.517,0.913,0.273,0.582,0.371,0.863
34,17.0,0.277,0.683,0.394,0.863,0.402,0.683,0.506,0.913,0.273,0.619,0.379,0.867
35,18.0,0.277,0.705,0.398,0.865,0.402,0.705,0.512,0.915,0.273,0.639,0.382,0.869
36,19.0,0.252,0.661,0.364,0.858,0.364,0.661,0.47,0.908,0.287,0.695,0.406,0.875
