,threshold,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,0.1,47.0,0.703,0.135,0.226,0.564,0.606,0.051,0.094,0.536,0.761,0.024,0.046,0.535
1,0.2,64.0,0.578,0.242,0.341,0.798,0.478,0.088,0.149,0.782,0.571,0.039,0.073,0.786
2,0.30000000000000004,80.0,0.456,0.362,0.404,0.878,0.373,0.13,0.193,0.876,0.447,0.058,0.102,0.885
3,0.4,83.0,0.38,0.446,0.41,0.901,0.305,0.157,0.208,0.907,0.365,0.069,0.117,0.919
4,0.5,91.0,0.285,0.488,0.36,0.908,0.232,0.174,0.199,0.926,0.291,0.081,0.126,0.941
5,0.6000000000000001,105.0,0.2,0.502,0.286,0.91,0.161,0.178,0.169,0.937,0.206,0.084,0.119,0.955
6,0.7000000000000001,138.0,0.14,0.502,0.219,0.91,0.109,0.171,0.133,0.944,0.145,0.084,0.106,0.964
7,0.8,195.0,0.08,0.514,0.139,0.91,0.069,0.195,0.102,0.952,0.085,0.089,0.087,0.974
8,0.9,275.0,0.034,0.51,0.063,0.91,0.032,0.213,0.056,0.957,0.038,0.094,0.054,0.98
9,0.9,275.0,0.034,0.51,0.063,0.91,0.032,0.213,0.056,0.957,0.038,0.094,0.054,0.98
10,0.91,292.0,0.028,0.497,0.053,0.91,0.028,0.217,0.049,0.957,0.035,0.099,0.051,0.981
11,0.92,300.0,0.024,0.506,0.047,0.91,0.026,0.24,0.048,0.958,0.031,0.105,0.048,0.982
12,0.93,312.0,0.022,0.527,0.043,0.91,0.025,0.257,0.045,0.958,0.028,0.11,0.045,0.982
13,0.9400000000000001,324.0,0.019,0.529,0.036,0.91,0.02,0.256,0.038,0.959,0.026,0.119,0.042,0.983
14,0.9500000000000001,335.0,0.014,0.498,0.027,0.91,0.017,0.265,0.031,0.959,0.021,0.127,0.037,0.983
15,0.96,349.0,0.011,0.516,0.021,0.91,0.014,0.29,0.026,0.959,0.015,0.118,0.027,0.984
16,0.97,361.0,0.008,0.529,0.016,0.91,0.012,0.336,0.023,0.96,0.014,0.143,0.025,0.984
17,0.98,384.0,0.006,0.544,0.011,0.91,0.008,0.356,0.016,0.96,0.01,0.156,0.018,0.985
18,0.99,406.0,0.003,0.5,0.006,0.91,0.005,0.321,0.009,0.96,0.006,0.143,0.011,0.985
