,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.765,0.094,0.167,0.309,0.77,0.041,0.079,0.283,0.753,0.015,0.029,0.269
1,3.0,0.607,0.091,0.159,0.417,0.611,0.04,0.076,0.407,0.62,0.015,0.029,0.402
2,4.0,0.452,0.101,0.165,0.588,0.459,0.045,0.082,0.593,0.444,0.016,0.031,0.595
3,5.0,0.315,0.106,0.159,0.698,0.327,0.048,0.084,0.717,0.334,0.018,0.034,0.726
4,6.0,0.306,0.107,0.159,0.706,0.317,0.049,0.085,0.727,0.316,0.018,0.034,0.736
5,7.0,0.297,0.108,0.158,0.714,0.311,0.049,0.085,0.735,0.308,0.018,0.034,0.745
6,8.0,0.285,0.107,0.156,0.721,0.301,0.05,0.085,0.744,0.296,0.018,0.034,0.754
7,9.0,0.278,0.107,0.154,0.724,0.293,0.049,0.084,0.748,0.289,0.018,0.034,0.758
8,10.0,0.276,0.107,0.154,0.725,0.29,0.049,0.084,0.749,0.286,0.018,0.034,0.76
9,11.0,0.206,0.114,0.147,0.784,0.208,0.051,0.081,0.814,0.209,0.019,0.034,0.829
10,12.0,0.193,0.123,0.15,0.803,0.197,0.056,0.087,0.835,0.196,0.02,0.037,0.85
11,13.0,0.176,0.125,0.146,0.814,0.18,0.056,0.086,0.847,0.185,0.021,0.038,0.864
12,14.0,0.172,0.125,0.145,0.816,0.175,0.056,0.085,0.85,0.176,0.021,0.037,0.866
13,15.0,0.167,0.124,0.143,0.818,0.169,0.055,0.083,0.852,0.173,0.021,0.037,0.869
14,16.0,0.151,0.136,0.143,0.837,0.148,0.059,0.084,0.872,0.154,0.022,0.039,0.89
15,17.0,0.13,0.131,0.13,0.843,0.132,0.058,0.081,0.881,0.133,0.022,0.037,0.899
16,18.0,0.123,0.134,0.129,0.849,0.128,0.061,0.083,0.887,0.128,0.022,0.038,0.906
17,19.0,0.119,0.138,0.127,0.853,0.128,0.065,0.087,0.893,0.124,0.023,0.039,0.911
18,20.0,0.116,0.137,0.126,0.854,0.126,0.065,0.086,0.894,0.122,0.023,0.039,0.913
19,2.0,0.771,0.096,0.171,0.311,0.783,0.044,0.084,0.284,0.787,0.018,0.035,0.27
20,3.0,0.617,0.095,0.164,0.419,0.632,0.044,0.082,0.408,0.672,0.019,0.036,0.403
21,4.0,0.465,0.106,0.173,0.589,0.488,0.051,0.092,0.594,0.52,0.022,0.041,0.596
22,5.0,0.332,0.113,0.169,0.698,0.364,0.056,0.097,0.718,0.425,0.026,0.05,0.727
23,6.0,0.323,0.115,0.169,0.707,0.355,0.057,0.098,0.728,0.409,0.026,0.05,0.737
24,7.0,0.314,0.116,0.169,0.714,0.348,0.058,0.099,0.736,0.402,0.027,0.05,0.745
25,8.0,0.303,0.116,0.167,0.722,0.339,0.059,0.1,0.745,0.391,0.027,0.051,0.754
26,9.0,0.296,0.115,0.166,0.725,0.331,0.058,0.099,0.748,0.385,0.027,0.051,0.759
27,10.0,0.294,0.115,0.166,0.726,0.329,0.058,0.099,0.75,0.383,0.027,0.051,0.76
28,11.0,0.226,0.127,0.162,0.784,0.251,0.064,0.102,0.814,0.317,0.032,0.058,0.829
29,12.0,0.212,0.137,0.167,0.804,0.241,0.071,0.109,0.835,0.304,0.036,0.064,0.85
30,13.0,0.197,0.141,0.164,0.815,0.224,0.073,0.11,0.848,0.295,0.038,0.068,0.864
31,14.0,0.192,0.141,0.163,0.817,0.22,0.073,0.109,0.85,0.287,0.038,0.067,0.867
32,15.0,0.187,0.14,0.161,0.819,0.214,0.073,0.108,0.853,0.285,0.039,0.068,0.869
33,16.0,0.172,0.156,0.163,0.837,0.195,0.08,0.113,0.872,0.268,0.044,0.076,0.89
34,17.0,0.151,0.152,0.152,0.844,0.179,0.082,0.112,0.881,0.251,0.046,0.077,0.9
35,18.0,0.145,0.157,0.151,0.849,0.176,0.086,0.116,0.888,0.246,0.048,0.081,0.906
36,19.0,0.14,0.162,0.15,0.854,0.175,0.092,0.121,0.893,0.243,0.051,0.084,0.912
