,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.763,0.094,0.168,0.315,0.768,0.042,0.079,0.289,0.748,0.015,0.029,0.275
1,3.0,0.607,0.092,0.16,0.426,0.609,0.041,0.076,0.415,0.613,0.015,0.029,0.41
2,4.0,0.474,0.101,0.167,0.573,0.477,0.045,0.082,0.576,0.466,0.016,0.031,0.577
3,5.0,0.437,0.103,0.166,0.603,0.43,0.044,0.08,0.609,0.433,0.016,0.032,0.613
4,6.0,0.352,0.106,0.163,0.673,0.332,0.044,0.078,0.687,0.358,0.017,0.033,0.696
5,7.0,0.305,0.11,0.162,0.714,0.298,0.047,0.081,0.733,0.307,0.018,0.034,0.744
6,8.0,0.259,0.116,0.16,0.755,0.23,0.045,0.076,0.777,0.256,0.018,0.034,0.792
7,9.0,0.244,0.117,0.158,0.765,0.218,0.046,0.076,0.789,0.24,0.018,0.034,0.804
8,10.0,0.29,0.111,0.161,0.726,0.297,0.05,0.086,0.748,0.281,0.017,0.033,0.758
9,11.0,0.209,0.12,0.152,0.789,0.182,0.046,0.073,0.817,0.206,0.019,0.035,0.833
10,12.0,0.181,0.123,0.146,0.81,0.164,0.049,0.075,0.841,0.18,0.02,0.036,0.858
11,13.0,0.227,0.113,0.151,0.769,0.219,0.048,0.078,0.796,0.228,0.018,0.034,0.81
12,14.0,0.163,0.13,0.145,0.826,0.144,0.051,0.075,0.858,0.163,0.021,0.037,0.877
13,15.0,0.157,0.133,0.144,0.831,0.138,0.051,0.074,0.864,0.154,0.021,0.037,0.883
14,16.0,0.159,0.129,0.142,0.826,0.15,0.053,0.079,0.86,0.163,0.021,0.037,0.878
15,17.0,0.142,0.132,0.137,0.838,0.126,0.052,0.073,0.873,0.14,0.021,0.036,0.892
16,18.0,0.14,0.141,0.141,0.845,0.131,0.058,0.08,0.881,0.142,0.023,0.04,0.9
17,19.0,0.134,0.122,0.128,0.834,0.122,0.049,0.07,0.87,0.138,0.02,0.035,0.89
18,20.0,0.13,0.131,0.131,0.843,0.123,0.054,0.075,0.88,0.129,0.021,0.036,0.899
19,2.0,0.769,0.097,0.172,0.317,0.78,0.045,0.084,0.29,0.783,0.018,0.035,0.276
20,3.0,0.617,0.096,0.166,0.427,0.63,0.044,0.083,0.416,0.666,0.019,0.037,0.411
21,4.0,0.487,0.106,0.175,0.574,0.506,0.05,0.091,0.577,0.539,0.021,0.041,0.577
22,5.0,0.451,0.108,0.174,0.604,0.461,0.05,0.09,0.61,0.51,0.022,0.042,0.614
23,6.0,0.368,0.113,0.173,0.674,0.368,0.051,0.09,0.687,0.445,0.025,0.047,0.697
24,7.0,0.322,0.118,0.173,0.715,0.336,0.056,0.096,0.734,0.401,0.027,0.05,0.744
25,8.0,0.277,0.126,0.173,0.756,0.272,0.056,0.093,0.778,0.356,0.029,0.054,0.792
26,9.0,0.263,0.127,0.172,0.765,0.26,0.057,0.094,0.789,0.343,0.03,0.055,0.804
27,10.0,0.308,0.12,0.173,0.727,0.335,0.059,0.101,0.749,0.379,0.027,0.05,0.759
28,11.0,0.228,0.132,0.167,0.79,0.227,0.059,0.094,0.817,0.313,0.033,0.06,0.834
29,12.0,0.201,0.138,0.164,0.81,0.209,0.065,0.099,0.841,0.291,0.036,0.065,0.858
30,13.0,0.246,0.124,0.165,0.769,0.261,0.06,0.097,0.796,0.332,0.03,0.056,0.811
31,14.0,0.184,0.147,0.164,0.826,0.191,0.069,0.102,0.859,0.276,0.04,0.07,0.877
32,15.0,0.178,0.151,0.163,0.831,0.184,0.071,0.102,0.864,0.268,0.041,0.071,0.883
33,16.0,0.18,0.146,0.161,0.827,0.196,0.072,0.105,0.86,0.276,0.041,0.071,0.878
34,17.0,0.163,0.152,0.157,0.839,0.173,0.073,0.103,0.874,0.256,0.043,0.074,0.893
35,18.0,0.161,0.163,0.162,0.846,0.178,0.081,0.112,0.882,0.258,0.047,0.08,0.9
36,19.0,0.156,0.141,0.148,0.834,0.17,0.07,0.099,0.87,0.254,0.042,0.072,0.89
