,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.803,0.112,0.196,0.404,0.729,0.044,0.084,0.367,0.772,0.017,0.034,0.357
1,3.0,0.81,0.111,0.196,0.398,0.734,0.044,0.084,0.36,0.779,0.017,0.034,0.35
2,4.0,0.84,0.109,0.193,0.364,0.768,0.044,0.083,0.324,0.807,0.017,0.033,0.312
3,5.0,0.847,0.109,0.192,0.358,0.769,0.043,0.082,0.316,0.812,0.017,0.033,0.304
4,6.0,0.815,0.111,0.195,0.391,0.745,0.044,0.084,0.354,0.788,0.017,0.034,0.343
5,7.0,0.831,0.11,0.194,0.375,0.765,0.044,0.084,0.336,0.797,0.017,0.033,0.324
6,8.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
7,9.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
8,10.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
9,11.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
10,12.0,0.808,0.112,0.196,0.401,0.73,0.044,0.084,0.363,0.776,0.017,0.034,0.353
11,13.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
12,14.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
13,15.0,0.873,0.107,0.191,0.332,0.809,0.044,0.083,0.289,0.837,0.017,0.032,0.274
14,16.0,0.8,0.112,0.196,0.408,0.726,0.045,0.084,0.371,0.764,0.017,0.034,0.361
15,17.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
16,18.0,0.877,0.107,0.19,0.326,0.81,0.043,0.082,0.282,0.846,0.017,0.033,0.268
17,19.0,0.802,0.112,0.197,0.407,0.728,0.045,0.084,0.37,0.766,0.017,0.034,0.36
18,20.0,0.8,0.112,0.196,0.408,0.726,0.045,0.084,0.371,0.764,0.017,0.034,0.361
19,2.0,0.82,0.114,0.2,0.393,0.759,0.048,0.09,0.355,0.817,0.021,0.04,0.344
20,3.0,0.816,0.114,0.201,0.398,0.751,0.048,0.09,0.361,0.811,0.021,0.04,0.35
21,4.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
22,5.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
23,6.0,0.974,0.093,0.17,0.118,0.969,0.042,0.08,0.069,0.98,0.017,0.033,0.046
24,7.0,0.882,0.108,0.193,0.318,0.821,0.046,0.087,0.274,0.868,0.019,0.038,0.26
25,8.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
26,9.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
27,10.0,0.99,0.095,0.173,0.123,0.98,0.042,0.081,0.073,0.989,0.017,0.034,0.049
28,11.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
29,12.0,0.813,0.115,0.201,0.402,0.745,0.048,0.089,0.365,0.807,0.021,0.04,0.355
30,13.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
31,14.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
32,15.0,0.908,0.104,0.187,0.267,0.859,0.045,0.085,0.222,0.914,0.019,0.037,0.206
33,16.0,0.969,0.096,0.175,0.156,0.953,0.043,0.082,0.107,0.972,0.018,0.034,0.085
34,17.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
35,18.0,0.852,0.111,0.197,0.357,0.784,0.046,0.088,0.315,0.845,0.02,0.039,0.303
36,19.0,0.807,0.115,0.201,0.408,0.743,0.048,0.09,0.372,0.799,0.021,0.04,0.361
