,clstr_num,Recall,Precision,F1_score,Acc,Recall_sub,Precision_sub,F1_score_sub,Acc_sub,Recall_n,Precision_n,F1_score_n,Acc_n
0,2.0,0.738,0.095,0.168,0.338,0.737,0.041,0.079,0.314,0.714,0.015,0.029,0.301
1,3.0,0.691,0.096,0.169,0.386,0.68,0.042,0.078,0.366,0.666,0.015,0.029,0.356
2,4.0,0.655,0.098,0.17,0.421,0.649,0.042,0.08,0.404,0.631,0.015,0.03,0.396
3,5.0,0.536,0.108,0.18,0.558,0.533,0.047,0.087,0.555,0.517,0.017,0.033,0.553
4,6.0,0.481,0.111,0.181,0.606,0.485,0.049,0.089,0.608,0.451,0.017,0.032,0.608
5,7.0,0.468,0.111,0.18,0.614,0.469,0.049,0.089,0.617,0.431,0.016,0.032,0.618
6,8.0,0.466,0.111,0.18,0.615,0.469,0.049,0.089,0.618,0.428,0.016,0.032,0.619
7,9.0,0.439,0.111,0.177,0.63,0.441,0.049,0.088,0.637,0.406,0.016,0.032,0.639
8,10.0,0.331,0.112,0.167,0.702,0.332,0.049,0.086,0.719,0.311,0.017,0.032,0.727
9,11.0,0.318,0.111,0.164,0.708,0.33,0.05,0.088,0.727,0.306,0.017,0.032,0.735
10,12.0,0.276,0.11,0.157,0.733,0.283,0.05,0.084,0.756,0.272,0.017,0.033,0.767
11,13.0,0.217,0.114,0.149,0.777,0.219,0.05,0.082,0.805,0.233,0.02,0.036,0.82
12,14.0,0.197,0.121,0.15,0.798,0.2,0.054,0.085,0.829,0.209,0.021,0.038,0.844
13,15.0,0.185,0.127,0.151,0.812,0.188,0.057,0.087,0.844,0.197,0.022,0.039,0.86
14,16.0,0.185,0.128,0.151,0.813,0.186,0.057,0.087,0.845,0.195,0.022,0.039,0.861
15,17.0,0.166,0.129,0.145,0.824,0.156,0.053,0.08,0.857,0.17,0.021,0.038,0.875
16,18.0,0.159,0.129,0.142,0.827,0.151,0.054,0.079,0.861,0.168,0.022,0.039,0.879
17,19.0,0.15,0.127,0.138,0.83,0.144,0.054,0.078,0.865,0.161,0.022,0.039,0.884
18,20.0,0.137,0.13,0.134,0.839,0.132,0.055,0.077,0.875,0.152,0.023,0.04,0.894
19,2.0,0.744,0.098,0.172,0.339,0.751,0.045,0.084,0.315,0.753,0.018,0.035,0.303
20,3.0,0.698,0.099,0.174,0.387,0.698,0.045,0.085,0.367,0.712,0.018,0.036,0.358
21,4.0,0.664,0.101,0.175,0.422,0.668,0.046,0.086,0.406,0.681,0.019,0.037,0.398
22,5.0,0.547,0.113,0.187,0.56,0.558,0.052,0.095,0.556,0.583,0.022,0.042,0.554
23,6.0,0.494,0.116,0.188,0.607,0.513,0.055,0.099,0.609,0.526,0.022,0.043,0.609
24,7.0,0.481,0.116,0.187,0.615,0.498,0.055,0.098,0.618,0.508,0.022,0.043,0.618
25,8.0,0.479,0.117,0.187,0.616,0.497,0.055,0.099,0.619,0.506,0.022,0.043,0.62
26,9.0,0.453,0.116,0.185,0.631,0.471,0.055,0.098,0.637,0.486,0.023,0.043,0.639
27,10.0,0.347,0.119,0.178,0.703,0.368,0.057,0.099,0.72,0.405,0.025,0.048,0.728
28,11.0,0.335,0.118,0.175,0.708,0.366,0.059,0.101,0.728,0.4,0.026,0.048,0.735
29,12.0,0.294,0.119,0.169,0.733,0.322,0.059,0.1,0.756,0.371,0.027,0.051,0.767
30,13.0,0.236,0.125,0.164,0.777,0.261,0.063,0.101,0.806,0.337,0.032,0.059,0.82
31,14.0,0.217,0.134,0.166,0.798,0.243,0.068,0.106,0.829,0.316,0.035,0.064,0.844
32,15.0,0.205,0.142,0.168,0.812,0.232,0.073,0.111,0.844,0.306,0.038,0.068,0.86
33,16.0,0.205,0.143,0.168,0.813,0.23,0.073,0.111,0.845,0.304,0.039,0.068,0.861
34,17.0,0.186,0.146,0.164,0.824,0.202,0.072,0.106,0.857,0.283,0.04,0.07,0.875
35,18.0,0.18,0.146,0.161,0.827,0.197,0.073,0.106,0.861,0.281,0.041,0.072,0.879
36,19.0,0.171,0.145,0.157,0.831,0.19,0.073,0.106,0.865,0.275,0.042,0.074,0.884
